I,V
-67.6479E-15,0.0000E+0
34.8218E-15,-200.0000E-3
15.3473E-15,-400.0000E-3
10.1601E-15,-600.0000E-3
-7.3089E-15,-800.0000E-3
10.1637E-15,-1.0000E+0
7.6241E-15,-1.2000E+0
23.6987E-15,-1.4000E+0
31.5766E-15,-1.6000E+0
-9.2541E-15,-1.8000E+0
37.7561E-15,-2.0000E+0
43.3373E-15,-2.2000E+0
48.3348E-15,-2.4000E+0
45.7091E-15,-2.6000E+0
63.7123E-15,-2.8000E+0
102.9279E-15,-3.0000E+0
153.1139E-15,-3.2000E+0
225.6051E-15,-3.4000E+0
320.2078E-15,-3.6000E+0
473.0806E-15,-3.8000E+0
660.5707E-15,-4.0000E+0
949.4551E-15,-4.2000E+0
1.4102E-12,-4.4000E+0
2.0246E-12,-4.6000E+0
2.8555E-12,-4.8000E+0
4.0393E-12,-5.0000E+0
5.9288E-12,-5.2000E+0
7.7899E-12,-5.4000E+0
10.7160E-12,-5.6000E+0
14.5179E-12,-5.8000E+0
19.0370E-12,-6.0000E+0
25.9344E-12,-6.2000E+0
35.2040E-12,-6.4000E+0
45.3668E-12,-6.6000E+0
59.1874E-12,-6.8000E+0
77.4333E-12,-7.0000E+0
105.3969E-12,-7.2000E+0
139.1406E-12,-7.4000E+0
191.7513E-12,-7.6000E+0
286.0745E-12,-7.8000E+0
503.7084E-12,-8.0000E+0
1.4582E-9,-8.2000E+0
2.6032E-9,-8.4000E+0
4.9939E-9,-8.6000E+0
14.7192E-9,-8.8000E+0
21.8077E-9,-9.0000E+0
20.3396E-9,-8.8000E+0
17.1780E-9,-8.6000E+0
13.9266E-9,-8.4000E+0
10.9926E-9,-8.2000E+0
8.6738E-9,-8.0000E+0
6.9013E-9,-7.8000E+0
5.3870E-9,-7.6000E+0
4.1835E-9,-7.4000E+0
3.1499E-9,-7.2000E+0
2.4078E-9,-7.0000E+0
1.8334E-9,-6.8000E+0
1.3936E-9,-6.6000E+0
1.0603E-9,-6.4000E+0
799.8942E-12,-6.2000E+0
600.6867E-12,-6.0000E+0
448.2637E-12,-5.8000E+0
327.5156E-12,-5.6000E+0
242.2828E-12,-5.4000E+0
177.1713E-12,-5.2000E+0
127.4846E-12,-5.0000E+0
90.9167E-12,-4.8000E+0
65.1646E-12,-4.6000E+0
45.3484E-12,-4.4000E+0
28.1001E-12,-4.2000E+0
18.8092E-12,-4.0000E+0
12.5630E-12,-3.8000E+0
7.9531E-12,-3.6000E+0
5.1768E-12,-3.4000E+0
3.3023E-12,-3.2000E+0
2.0652E-12,-3.0000E+0
1.2509E-12,-2.8000E+0
691.8881E-15,-2.6000E+0
425.1348E-15,-2.4000E+0
275.1873E-15,-2.2000E+0
157.8121E-15,-2.0000E+0
93.5494E-15,-1.8000E+0
48.3334E-15,-1.6000E+0
-30.8435E-15,-1.4000E+0
-9.5760E-15,-1.2000E+0
-56.3770E-15,-1.0000E+0
-7.9653E-15,-800.0000E-3
-25.9945E-15,-600.0000E-3
-54.5452E-15,-400.0000E-3
-11.2412E-15,-200.0000E-3
16.4122E-15,0.0000E+0
15.3255E-15,200.0000E-3
3.2220E-15,400.0000E-3
9.1836E-15,600.0000E-3
-9.4455E-15,800.0000E-3
-39.3905E-15,1.0000E+0
-75.0022E-15,1.2000E+0
-40.2888E-15,1.4000E+0
-42.3979E-15,1.6000E+0
-62.0049E-15,1.8000E+0
-95.7970E-15,2.0000E+0
-99.6935E-15,2.2000E+0
-89.0946E-15,2.4000E+0
-134.2240E-15,2.6000E+0
-227.1111E-15,2.8000E+0
-308.3368E-15,3.0000E+0
-443.8381E-15,3.2000E+0
-727.7847E-15,3.4000E+0
-1.2082E-12,3.6000E+0
-1.7200E-12,3.8000E+0
-2.9677E-12,4.0000E+0
-4.9692E-12,4.2000E+0
-8.7487E-12,4.4000E+0
-17.5859E-12,4.6000E+0
-43.0384E-12,4.8000E+0
-95.7014E-12,5.0000E+0
-153.8436E-12,5.2000E+0
-282.1870E-12,5.4000E+0
-642.1886E-12,5.6000E+0
-1.0748E-9,5.8000E+0
-1.8765E-9,6.0000E+0
-3.0861E-9,6.2000E+0
-4.9217E-9,6.4000E+0
-8.0706E-9,6.6000E+0
-10.9512E-9,6.8000E+0
-14.9034E-9,7.0000E+0
-20.3475E-9,7.2000E+0
-27.6985E-9,7.4000E+0
-37.4880E-9,7.6000E+0
-55.8264E-9,7.8000E+0
