I,V
567.4250E-15,0.0000E+0
279.8659E-15,-200.0000E-3
177.3393E-15,-400.0000E-3
249.3932E-15,-600.0000E-3
230.9630E-15,-800.0000E-3
215.6132E-15,-1.0000E+0
232.5789E-15,-1.2000E+0
313.6712E-15,-1.4000E+0
428.4677E-15,-1.6000E+0
481.2835E-15,-1.8000E+0
444.1962E-15,-2.0000E+0
922.1657E-15,-2.2000E+0
1.0814E-12,-2.4000E+0
1.4656E-12,-2.6000E+0
2.0785E-12,-2.8000E+0
2.8961E-12,-3.0000E+0
4.2611E-12,-3.2000E+0
6.2620E-12,-3.4000E+0
9.2369E-12,-3.6000E+0
13.4969E-12,-3.8000E+0
19.6604E-12,-4.0000E+0
28.2783E-12,-4.2000E+0
40.5263E-12,-4.4000E+0
57.3206E-12,-4.6000E+0
81.2574E-12,-4.8000E+0
114.6273E-12,-5.0000E+0
161.7033E-12,-5.2000E+0
224.4677E-12,-5.4000E+0
310.8546E-12,-5.6000E+0
425.3636E-12,-5.8000E+0
600.7096E-12,-6.0000E+0
804.4346E-12,-6.2000E+0
1.0746E-9,-6.4000E+0
1.3864E-9,-6.6000E+0
3.2235E-9,-6.8000E+0
2.2854E-9,-7.0000E+0
2.8964E-9,-7.2000E+0
3.9093E-9,-7.4000E+0
7.3101E-9,-7.6000E+0
11.4699E-9,-7.8000E+0
20.8273E-9,-8.0000E+0
45.2548E-9,-8.2000E+0
234.4362E-9,-8.4000E+0
355.1776E-9,-8.6000E+0
936.4921E-9,-8.8000E+0
1.3444E-6,-9.0000E+0
1.2051E-6,-8.8000E+0
991.7275E-9,-8.6000E+0
791.7679E-9,-8.4000E+0
622.4221E-9,-8.2000E+0
485.5799E-9,-8.0000E+0
364.0185E-9,-7.8000E+0
282.2848E-9,-7.6000E+0
217.6067E-9,-7.4000E+0
166.7960E-9,-7.2000E+0
127.1677E-9,-7.0000E+0
96.4177E-9,-6.8000E+0
72.6762E-9,-6.6000E+0
54.4552E-9,-6.4000E+0
40.4888E-9,-6.2000E+0
28.8930E-9,-6.0000E+0
21.2246E-9,-5.8000E+0
15.4374E-9,-5.6000E+0
11.1427E-9,-5.4000E+0
7.9707E-9,-5.2000E+0
5.6455E-9,-5.0000E+0
3.8081E-9,-4.8000E+0
2.6340E-9,-4.6000E+0
1.8002E-9,-4.4000E+0
1.2132E-9,-4.2000E+0
808.5401E-12,-4.0000E+0
525.3036E-12,-3.8000E+0
336.3176E-12,-3.6000E+0
212.5222E-12,-3.4000E+0
132.6972E-12,-3.2000E+0
81.2629E-12,-3.0000E+0
48.9289E-12,-2.8000E+0
28.5796E-12,-2.6000E+0
16.4611E-12,-2.4000E+0
9.1079E-12,-2.2000E+0
4.8051E-12,-2.0000E+0
2.3877E-12,-1.8000E+0
1.1312E-12,-1.6000E+0
416.1220E-15,-1.4000E+0
43.2291E-15,-1.2000E+0
-66.6949E-15,-1.0000E+0
-195.2507E-15,-800.0000E-3
-234.5849E-15,-600.0000E-3
-257.6604E-15,-400.0000E-3
