I,V
60.2049E-15,0.0000E+0
664.0665E-15,-200.0000E-3
958.4841E-15,-400.0000E-3
623.6333E-15,-600.0000E-3
647.8252E-15,-800.0000E-3
2.3179E-12,-1.0000E+0
76.3472E-15,-1.2000E+0
-60.8506E-15,-1.4000E+0
108.0854E-15,-1.6000E+0
90.9031E-15,-1.8000E+0
91.6040E-15,-2.0000E+0
85.4776E-15,-2.2000E+0
76.1186E-15,-2.4000E+0
83.6817E-15,-2.6000E+0
95.4724E-15,-2.8000E+0
81.7269E-15,-3.0000E+0
129.0667E-15,-3.2000E+0
100.7079E-15,-3.4000E+0
95.4727E-15,-3.6000E+0
104.2467E-15,-3.8000E+0
104.5868E-15,-4.0000E+0
89.4314E-15,-4.2000E+0
112.6444E-15,-4.4000E+0
92.9018E-15,-4.6000E+0
106.9217E-15,-4.8000E+0
102.3578E-15,-5.0000E+0
97.5694E-15,-5.2000E+0
92.8612E-15,-5.4000E+0
92.7629E-15,-5.6000E+0
100.3268E-15,-5.8000E+0
111.1877E-15,-6.0000E+0
110.9683E-15,-6.2000E+0
118.3207E-15,-6.4000E+0
96.3862E-15,-6.6000E+0
138.8867E-15,-6.8000E+0
138.5158E-15,-7.0000E+0
140.9324E-15,-7.2000E+0
138.6391E-15,-7.4000E+0
138.5034E-15,-7.6000E+0
161.7171E-15,-7.8000E+0
187.8786E-15,-8.0000E+0
280.3888E-15,-8.2000E+0
303.1368E-15,-8.4000E+0
527.5456E-15,-8.6000E+0
1.1869E-12,-8.8000E+0
3.0151E-12,-9.0000E+0
3.9144E-12,-8.8000E+0
3.1473E-12,-8.6000E+0
2.9132E-12,-8.4000E+0
2.4671E-12,-8.2000E+0
2.0292E-12,-8.0000E+0
1.1139E-12,-7.8000E+0
973.4947E-15,-7.6000E+0
794.7492E-15,-7.4000E+0
521.3725E-15,-7.2000E+0
479.0867E-15,-7.0000E+0
308.7736E-15,-6.8000E+0
160.6415E-15,-6.6000E+0
122.2770E-15,-6.4000E+0
100.7406E-15,-6.2000E+0
46.3611E-15,-6.0000E+0
36.4673E-15,-5.8000E+0
-8.6130E-15,-5.6000E+0
435.5826E-18,-5.4000E+0
-24.8105E-15,-5.2000E+0
-3.4289E-15,-5.0000E+0
-32.6806E-15,-4.8000E+0
-60.2110E-15,-4.6000E+0
-56.9441E-15,-4.4000E+0
-65.2884E-15,-4.2000E+0
-60.5134E-15,-4.0000E+0
-88.9959E-15,-3.8000E+0
-91.4692E-15,-3.6000E+0
-69.8179E-15,-3.4000E+0
-90.4953E-15,-3.2000E+0
-85.6803E-15,-3.0000E+0
-79.9307E-15,-2.8000E+0
-82.6611E-15,-2.6000E+0
-83.0453E-15,-2.4000E+0
-86.0006E-15,-2.2000E+0
-114.7209E-15,-2.0000E+0
-63.8487E-15,-1.8000E+0
-131.5966E-15,-1.6000E+0
-70.6671E-15,-1.4000E+0
-101.7903E-15,-1.2000E+0
-94.9442E-15,-1.0000E+0
-91.1811E-15,-800.0000E-3
-84.8698E-15,-600.0000E-3
-78.7766E-15,-400.0000E-3
-147.7790E-15,-200.0000E-3
-70.0361E-15,0.0000E+0
-75.3533E-15,200.0000E-3
-98.7218E-15,400.0000E-3
-106.0402E-15,600.0000E-3
-96.4025E-15,800.0000E-3
-83.0625E-15,1.0000E+0
-92.8651E-15,1.2000E+0
-102.6751E-15,1.4000E+0
-96.2014E-15,1.6000E+0
-105.8041E-15,1.8000E+0
-135.6527E-15,2.0000E+0
-27.3946E-15,2.2000E+0
-26.3207E-15,2.4000E+0
-80.3745E-15,2.6000E+0
-112.4810E-15,2.8000E+0
-132.6868E-15,3.0000E+0
-127.4060E-15,3.2000E+0
-7.4220E-15,3.4000E+0
-88.5656E-15,3.6000E+0
-45.8648E-15,3.8000E+0
-107.6362E-15,4.0000E+0
-89.7347E-15,4.2000E+0
-117.1963E-15,4.4000E+0
-147.9197E-15,4.6000E+0
-19.2763E-15,4.8000E+0
-96.7984E-15,5.0000E+0
-199.3903E-15,5.2000E+0
-240.7757E-15,5.4000E+0
-289.6665E-15,5.6000E+0
-375.1013E-15,5.8000E+0
-489.1176E-15,6.0000E+0
-1.4351E-12,6.2000E+0
-2.7742E-12,6.4000E+0
-3.7059E-12,6.6000E+0
-7.3833E-12,6.8000E+0
-11.4540E-12,7.0000E+0
-16.6001E-12,7.2000E+0
-22.2394E-12,7.4000E+0
-29.7638E-12,7.6000E+0
-41.0322E-12,7.8000E+0
-67.3403E-12,8.0000E+0
-94.5254E-12,8.2000E+0
-146.1865E-12,8.4000E+0
-188.4632E-12,8.6000E+0
-236.4843E-12,8.8000E+0
-322.0469E-12,9.0000E+0
-306.9467E-12,8.8000E+0
-249.4507E-12,8.6000E+0
-204.5087E-12,8.4000E+0
-151.6657E-12,8.2000E+0
-133.7802E-12,8.0000E+0
-105.9886E-12,7.8000E+0
-85.1797E-12,7.6000E+0
-67.2730E-12,7.4000E+0
-55.1673E-12,7.2000E+0
-45.4198E-12,7.0000E+0
-30.9590E-12,6.8000E+0
-24.8849E-12,6.6000E+0
-18.9839E-12,6.4000E+0
-14.1678E-12,6.2000E+0
-11.0991E-12,6.0000E+0
-7.5902E-12,5.8000E+0
-5.8886E-12,5.6000E+0
-4.8543E-12,5.4000E+0
-3.0605E-12,5.2000E+0
-2.2054E-12,5.0000E+0
-1.8819E-12,4.8000E+0
-1.1189E-12,4.6000E+0
-840.7516E-15,4.4000E+0
-469.0373E-15,4.2000E+0
-139.8690E-15,4.0000E+0
99.9019E-15,3.8000E+0
-317.3665E-15,3.6000E+0
106.0859E-12,3.4000E+0
360.4562E-15,3.2000E+0
421.2986E-15,3.0000E+0
625.6809E-15,2.8000E+0
631.0669E-15,2.6000E+0
622.8087E-15,2.4000E+0
-67.2645E-15,2.2000E+0
-103.0458E-15,2.0000E+0
85.1039E-15,1.8000E+0
86.8369E-15,1.6000E+0
80.1715E-15,1.4000E+0
104.0962E-15,1.2000E+0
62.4216E-15,1.0000E+0
98.1701E-15,800.0000E-3
90.0637E-15,600.0000E-3
88.2201E-15,400.0000E-3
91.0261E-15,200.0000E-3
99.8419E-15,0.0000E+0
