I,V
119.8232E-15,0.0000E+0
60.4515E-15,-200.0000E-3
59.7717E-15,-400.0000E-3
90.1355E-15,-600.0000E-3
131.8268E-15,-800.0000E-3
19.3531E-15,-1.0000E+0
66.6611E-15,-1.2000E+0
182.8613E-15,-1.4000E+0
74.4428E-15,-1.6000E+0
83.6855E-15,-1.8000E+0
61.0627E-15,-2.0000E+0
85.9525E-15,-2.2000E+0
90.0315E-15,-2.4000E+0
102.6711E-15,-2.6000E+0
91.8944E-15,-2.8000E+0
124.5168E-15,-3.0000E+0
112.2963E-15,-3.2000E+0
90.1421E-15,-3.4000E+0
127.4368E-15,-3.6000E+0
91.4961E-15,-3.8000E+0
104.2408E-15,-4.0000E+0
177.6166E-15,-4.2000E+0
91.0802E-15,-4.4000E+0
106.5038E-15,-4.6000E+0
107.0544E-15,-4.8000E+0
102.3648E-15,-5.0000E+0
99.0605E-15,-5.2000E+0
106.9853E-15,-5.4000E+0
99.8301E-15,-5.6000E+0
81.0239E-15,-5.8000E+0
158.7772E-15,-6.0000E+0
135.8615E-15,-6.2000E+0
174.2236E-15,-6.4000E+0
138.8116E-15,-6.6000E+0
182.0214E-15,-6.8000E+0
153.0004E-15,-7.0000E+0
168.9935E-15,-7.2000E+0
221.4193E-15,-7.4000E+0
236.9266E-15,-7.6000E+0
341.5668E-15,-7.8000E+0
489.4367E-15,-8.0000E+0
1.0201E-12,-8.2000E+0
2.6962E-12,-8.4000E+0
11.7773E-12,-8.6000E+0
18.6677E-12,-8.8000E+0
35.7510E-12,-9.0000E+0
27.2993E-12,-8.8000E+0
24.4513E-12,-8.6000E+0
23.2153E-12,-8.4000E+0
23.8836E-12,-8.2000E+0
20.8249E-12,-8.0000E+0
9.8590E-12,-7.8000E+0
9.4142E-12,-7.6000E+0
6.9617E-12,-7.4000E+0
4.4667E-12,-7.2000E+0
4.2766E-12,-7.0000E+0
3.0667E-12,-6.8000E+0
2.5702E-12,-6.6000E+0
1.9120E-12,-6.4000E+0
1.4951E-12,-6.2000E+0
1.2674E-12,-6.0000E+0
2.4818E-12,-5.8000E+0
308.5713E-15,-5.6000E+0
223.5817E-15,-5.4000E+0
118.0868E-15,-5.2000E+0
144.4908E-15,-5.0000E+0
76.5373E-15,-4.8000E+0
-56.7791E-15,-4.6000E+0
34.0801E-15,-4.4000E+0
-45.6884E-15,-4.2000E+0
-39.9077E-15,-4.0000E+0
-53.5772E-15,-3.8000E+0
-120.5887E-15,-3.6000E+0
-12.1205E-15,-3.4000E+0
-103.6450E-15,-3.2000E+0
-82.9818E-15,-3.0000E+0
-169.0070E-15,-2.8000E+0
-68.6376E-15,-2.6000E+0
-83.2103E-15,-2.4000E+0
-86.0260E-15,-2.2000E+0
-86.8651E-15,-2.0000E+0
-83.8193E-15,-1.8000E+0
-89.7648E-15,-1.6000E+0
-77.7259E-15,-1.4000E+0
-93.2916E-15,-1.2000E+0
-90.7619E-15,-1.0000E+0
-90.2886E-15,-800.0000E-3
-94.4746E-15,-600.0000E-3
-72.6161E-15,-400.0000E-3
-114.4503E-15,-200.0000E-3
-97.3629E-15,0.0000E+0
-79.5679E-15,200.0000E-3
-71.8556E-15,400.0000E-3
-83.8283E-15,600.0000E-3
-96.5605E-15,800.0000E-3
-112.1504E-15,1.0000E+0
-93.3453E-15,1.2000E+0
-129.9005E-15,1.4000E+0
-77.5874E-15,1.6000E+0
-115.5714E-15,1.8000E+0
-91.7923E-15,2.0000E+0
-129.9624E-15,2.2000E+0
-104.4423E-15,2.4000E+0
-111.4821E-15,2.6000E+0
-99.2750E-15,2.8000E+0
-88.5320E-15,3.0000E+0
-86.8163E-15,3.2000E+0
-96.5442E-15,3.4000E+0
-51.0276E-15,3.6000E+0
-157.5213E-15,3.8000E+0
-90.4548E-15,4.0000E+0
-103.3717E-15,4.2000E+0
-53.3931E-15,4.4000E+0
-130.1664E-15,4.6000E+0
-169.7214E-15,4.8000E+0
-143.0187E-15,5.0000E+0
-162.0729E-15,5.2000E+0
-947.7980E-15,5.4000E+0
-622.2844E-15,5.6000E+0
-1.4786E-12,5.8000E+0
-3.5990E-12,6.0000E+0
-10.7463E-12,6.2000E+0
-13.4119E-12,6.4000E+0
-16.6217E-12,6.6000E+0
-23.4465E-12,6.8000E+0
-33.4600E-12,7.0000E+0
-49.0446E-12,7.2000E+0
-74.6625E-12,7.4000E+0
-91.1383E-12,7.6000E+0
-110.4068E-12,7.8000E+0
-157.0020E-12,8.0000E+0
-220.3255E-12,8.2000E+0
-299.1920E-12,8.4000E+0
-442.8706E-12,8.6000E+0
-701.2458E-12,8.8000E+0
-977.6142E-12,9.0000E+0
-834.8420E-12,8.8000E+0
-696.7822E-12,8.6000E+0
-573.0860E-12,8.4000E+0
-451.4681E-12,8.2000E+0
-360.2649E-12,8.0000E+0
-290.9954E-12,7.8000E+0
-236.7952E-12,7.6000E+0
-193.7802E-12,7.4000E+0
-153.1445E-12,7.2000E+0
-121.0265E-12,7.0000E+0
-97.4991E-12,6.8000E+0
-75.1906E-12,6.6000E+0
-57.1959E-12,6.4000E+0
-46.4163E-12,6.2000E+0
-34.0933E-12,6.0000E+0
-26.4080E-12,5.8000E+0
-20.1208E-12,5.6000E+0
-15.2896E-12,5.4000E+0
-11.6861E-12,5.2000E+0
-9.2762E-12,5.0000E+0
-6.9373E-12,4.8000E+0
-5.1114E-12,4.6000E+0
-2.9610E-12,4.4000E+0
-1.7611E-12,4.2000E+0
-1.0830E-12,4.0000E+0
550.3190E-15,3.8000E+0
182.3526E-15,3.6000E+0
-448.9128E-15,3.4000E+0
-260.9425E-15,3.2000E+0
-240.2653E-15,3.0000E+0
-188.7716E-15,2.8000E+0
-27.7663E-15,2.6000E+0
18.9037E-15,2.4000E+0
51.0069E-15,2.2000E+0
66.4073E-15,2.0000E+0
79.6138E-15,1.8000E+0
75.9646E-15,1.6000E+0
89.1435E-15,1.4000E+0
87.5315E-15,1.2000E+0
91.8837E-15,1.0000E+0
92.3026E-15,800.0000E-3
100.9540E-15,600.0000E-3
108.7023E-15,400.0000E-3
81.4616E-15,200.0000E-3
78.1863E-15,0.0000E+0
