I,V
2.1972E-15,0.0000E+0
7.4393E-15,-200.0000E-3
18.7103E-15,-400.0000E-3
-2.1390E-15,-600.0000E-3
36.8326E-15,-800.0000E-3
15.8539E-15,-1.0000E+0
23.9541E-15,-1.2000E+0
-55.0021E-15,-1.4000E+0
62.8944E-15,-1.6000E+0
-3.3812E-15,-1.8000E+0
2.6419E-15,-2.0000E+0
1.5777E-15,-2.2000E+0
63.1320E-15,-2.4000E+0
-37.1026E-15,-2.6000E+0
4.4927E-15,-2.8000E+0
18.6596E-15,-3.0000E+0
25.1985E-15,-3.2000E+0
70.7111E-15,-3.4000E+0
53.2489E-15,-3.6000E+0
50.4245E-15,-3.8000E+0
63.5463E-15,-4.0000E+0
79.9187E-15,-4.2000E+0
100.9416E-15,-4.4000E+0
196.5973E-15,-4.6000E+0
244.1448E-15,-4.8000E+0
399.7846E-15,-5.0000E+0
490.1985E-15,-5.2000E+0
714.8435E-15,-5.4000E+0
1.0331E-12,-5.6000E+0
1.2784E-12,-5.8000E+0
1.7729E-12,-6.0000E+0
2.3895E-12,-6.2000E+0
3.2066E-12,-6.4000E+0
4.4506E-12,-6.6000E+0
5.8365E-12,-6.8000E+0
7.9802E-12,-7.0000E+0
10.3178E-12,-7.2000E+0
13.3901E-12,-7.4000E+0
19.0154E-12,-7.6000E+0
31.8350E-12,-7.8000E+0
69.4901E-12,-8.0000E+0
105.1679E-12,-8.2000E+0
176.7324E-12,-8.4000E+0
340.8790E-12,-8.6000E+0
983.7794E-12,-8.8000E+0
1.6272E-9,-9.0000E+0
1.6058E-9,-8.8000E+0
1.3934E-9,-8.6000E+0
1.1111E-9,-8.4000E+0
898.7133E-12,-8.2000E+0
703.8134E-12,-8.0000E+0
532.1260E-12,-7.8000E+0
439.1690E-12,-7.6000E+0
318.7282E-12,-7.4000E+0
241.4522E-12,-7.2000E+0
186.0784E-12,-7.0000E+0
143.1048E-12,-6.8000E+0
106.9555E-12,-6.6000E+0
79.4290E-12,-6.4000E+0
60.9969E-12,-6.2000E+0
45.1526E-12,-6.0000E+0
31.9479E-12,-5.8000E+0
23.7246E-12,-5.6000E+0
17.1826E-12,-5.4000E+0
12.4674E-12,-5.2000E+0
9.1359E-12,-5.0000E+0
6.3890E-12,-4.8000E+0
4.4602E-12,-4.6000E+0
3.1594E-12,-4.4000E+0
2.2162E-12,-4.2000E+0
1.5938E-12,-4.0000E+0
1.1607E-12,-3.8000E+0
884.3023E-15,-3.6000E+0
630.3977E-15,-3.4000E+0
388.1214E-15,-3.2000E+0
216.7490E-15,-3.0000E+0
128.4195E-15,-2.8000E+0
37.4003E-15,-2.6000E+0
