I,V
1.3084E-15,0.0000E+0
1.7595E-15,-200.0000E-3
19.6555E-15,-400.0000E-3
5.9976E-15,-600.0000E-3
385.9881E-15,-800.0000E-3
-36.1054E-15,-1.0000E+0
96.3705E-15,-1.2000E+0
47.3987E-15,-1.4000E+0
74.4210E-15,-1.6000E+0
248.2947E-15,-1.8000E+0
157.7686E-15,-2.0000E+0
54.0627E-15,-2.2000E+0
142.0299E-15,-2.4000E+0
194.4270E-15,-2.6000E+0
323.1859E-15,-2.8000E+0
423.6629E-15,-3.0000E+0
393.6681E-15,-3.2000E+0
566.4384E-15,-3.4000E+0
1.0216E-12,-3.6000E+0
1.4528E-12,-3.8000E+0
2.0635E-12,-4.0000E+0
2.8793E-12,-4.2000E+0
4.0394E-12,-4.4000E+0
6.0076E-12,-4.6000E+0
8.4350E-12,-4.8000E+0
11.8953E-12,-5.0000E+0
16.7033E-12,-5.2000E+0
22.9119E-12,-5.4000E+0
31.3035E-12,-5.6000E+0
42.9487E-12,-5.8000E+0
59.2044E-12,-6.0000E+0
80.0106E-12,-6.2000E+0
104.8760E-12,-6.4000E+0
137.9667E-12,-6.6000E+0
180.2028E-12,-6.8000E+0
233.1282E-12,-7.0000E+0
311.8079E-12,-7.2000E+0
472.6112E-12,-7.4000E+0
1.1090E-9,-7.6000E+0
2.0393E-9,-7.8000E+0
4.4850E-9,-8.0000E+0
16.3559E-9,-8.2000E+0
26.7308E-9,-8.4000E+0
47.1534E-9,-8.6000E+0
128.8063E-9,-8.8000E+0
179.8486E-9,-9.0000E+0
158.8650E-9,-8.8000E+0
130.2034E-9,-8.6000E+0
103.6648E-9,-8.4000E+0
81.6850E-9,-8.2000E+0
64.1064E-9,-8.0000E+0
49.8040E-9,-7.8000E+0
36.8459E-9,-7.6000E+0
28.3744E-9,-7.4000E+0
21.7361E-9,-7.2000E+0
16.4858E-9,-7.0000E+0
12.5084E-9,-6.8000E+0
9.3875E-9,-6.6000E+0
7.0148E-9,-6.4000E+0
5.2070E-9,-6.2000E+0
3.7344E-9,-6.0000E+0
2.7207E-9,-5.8000E+0
1.9673E-9,-5.6000E+0
1.4143E-9,-5.4000E+0
1.0067E-9,-5.2000E+0
712.5778E-12,-5.0000E+0
497.4386E-12,-4.8000E+0
331.7689E-12,-4.6000E+0
227.9619E-12,-4.4000E+0
153.4791E-12,-4.2000E+0
102.3839E-12,-4.0000E+0
66.7212E-12,-3.8000E+0
42.7739E-12,-3.6000E+0
27.0791E-12,-3.4000E+0
17.0426E-12,-3.2000E+0
10.4328E-12,-3.0000E+0
6.1760E-12,-2.8000E+0
3.3251E-12,-2.6000E+0
2.0077E-12,-2.4000E+0
1.0993E-12,-2.2000E+0
631.9389E-15,-2.0000E+0
237.3381E-15,-1.8000E+0
-162.1377E-15,-1.6000E+0
159.7238E-15,-1.4000E+0
32.3181E-15,-1.2000E+0
-45.0579E-15,-1.0000E+0
-89.7730E-15,-800.0000E-3
-52.9887E-15,-600.0000E-3
50.0822E-15,-400.0000E-3
-241.7629E-15,-200.0000E-3
-83.4445E-15,0.0000E+0
-1.9349E-15,200.0000E-3
-16.8759E-15,400.0000E-3
-105.1550E-15,600.0000E-3
-235.7373E-15,800.0000E-3
-155.9630E-15,1.0000E+0
-62.6952E-15,1.2000E+0
-108.4202E-15,1.4000E+0
-289.1037E-15,1.6000E+0
-430.1281E-15,1.8000E+0
-248.9413E-15,2.0000E+0
-203.6539E-15,2.2000E+0
-782.3154E-15,2.4000E+0
-679.2586E-15,2.6000E+0
-827.5961E-15,2.8000E+0
-1.4753E-12,3.0000E+0
-1.4639E-12,3.2000E+0
-2.1839E-12,3.4000E+0
-3.2119E-12,3.6000E+0
-4.0581E-12,3.8000E+0
-6.0639E-12,4.0000E+0
-8.7302E-12,4.2000E+0
-14.3990E-12,4.4000E+0
-23.6397E-12,4.6000E+0
-43.5142E-12,4.8000E+0
-92.7032E-12,5.0000E+0
-214.7492E-12,5.2000E+0
-563.9122E-12,5.4000E+0
-1.5644E-9,5.6000E+0
-2.9144E-9,5.8000E+0
-6.8099E-9,6.0000E+0
-10.1649E-9,6.2000E+0
-15.6218E-9,6.4000E+0
-24.1668E-9,6.6000E+0
-35.8473E-9,6.8000E+0
-55.2444E-9,7.0000E+0
-71.9659E-9,7.2000E+0
-96.3257E-9,7.4000E+0
-129.6704E-9,7.6000E+0
-177.7412E-9,7.8000E+0
-246.7407E-9,8.0000E+0
-345.9673E-9,8.2000E+0
-490.6787E-9,8.4000E+0
-843.3614E-9,8.6000E+0
-1.1030E-6,8.8000E+0
-1.4820E-6,9.0000E+0
-1.2965E-6,8.8000E+0
-1.0758E-6,8.6000E+0
-873.5702E-9,8.4000E+0
-703.7368E-9,8.2000E+0
-565.3629E-9,8.0000E+0
-452.9392E-9,7.8000E+0
-349.2100E-9,7.6000E+0
-281.8166E-9,7.4000E+0
-225.7670E-9,7.2000E+0
-180.2444E-9,7.0000E+0
-143.6618E-9,6.8000E+0
-113.9275E-9,6.6000E+0
-90.1816E-9,6.4000E+0
-71.0384E-9,6.2000E+0
-55.8719E-9,6.0000E+0
-43.7166E-9,5.8000E+0
-32.3677E-9,5.6000E+0
-25.1096E-9,5.4000E+0
-19.2815E-9,5.2000E+0
-14.7014E-9,5.0000E+0
-11.1223E-9,4.8000E+0
-8.3403E-9,4.6000E+0
-6.1974E-9,4.4000E+0
