I,V
207.4945E-9,10.0000E+0
162.0216E-9,9.7500E+0
125.6656E-9,9.5000E+0
96.7847E-9,9.2500E+0
74.1248E-9,9.0000E+0
56.2759E-9,8.7500E+0
42.4375E-9,8.5000E+0
31.7831E-9,8.2500E+0
23.6289E-9,8.0000E+0
17.4260E-9,7.7500E+0
12.7466E-9,7.5000E+0
9.2471E-9,7.2500E+0
6.6758E-9,7.0000E+0
4.7731E-9,6.7500E+0
3.3829E-9,6.5000E+0
2.3842E-9,6.2500E+0
1.6729E-9,6.0000E+0
1.1666E-9,5.7500E+0
814.0916E-12,5.5000E+0
567.4071E-12,5.2500E+0
395.3705E-12,5.0000E+0
277.1271E-12,4.7500E+0
196.9725E-12,4.5000E+0
139.5589E-12,4.2500E+0
96.6262E-12,4.0000E+0
65.6250E-12,3.7500E+0
30.2896E-12,3.5000E+0
10.7609E-12,3.2500E+0
-13.5608E-12,3.0000E+0
-35.3841E-12,2.7500E+0
-54.8109E-12,2.5000E+0
-72.9630E-12,2.2500E+0
-90.9621E-12,2.0000E+0
-107.4825E-12,1.7500E+0
-126.9093E-12,1.5000E+0
-143.5317E-12,1.2500E+0
-165.8648E-12,1.0000E+0
-183.4047E-12,750.0000E-3
-199.1588E-12,500.0000E-3
-220.5210E-12,250.0000E-3
-237.2437E-12,0.0000E+0
-254.4762E-12,-250.0000E-3
-275.2266E-12,-500.0000E-3
-292.9181E-12,-750.0000E-3
-315.4529E-12,-1.0000E+0
-330.4422E-12,-1.2500E+0
-352.9260E-12,-1.5000E+0
-370.9743E-12,-1.7500E+0
-388.5638E-12,-2.0000E+0
-406.6120E-12,-2.2500E+0
-428.3821E-12,-2.5000E+0
-449.6424E-12,-2.7500E+0
-466.4161E-12,-3.0000E+0
-489.0529E-12,-3.2500E+0
-510.8740E-12,-3.5000E+0
-534.5815E-12,-3.7500E+0
-558.9008E-12,-4.0000E+0
-589.2871E-12,-4.2500E+0
-621.4070E-12,-4.5000E+0
-665.7629E-12,-4.7500E+0
-714.4525E-12,-5.0000E+0
-782.1591E-12,-5.2500E+0
-871.1769E-12,-5.5000E+0
-995.0676E-12,-5.7500E+0
-1.1564E-9,-6.0000E+0
-1.3806E-9,-6.2500E+0
-1.6751E-9,-6.5000E+0
-2.0763E-9,-6.7500E+0
-2.6104E-9,-7.0000E+0
-3.3057E-9,-7.2500E+0
-4.2280E-9,-7.5000E+0
-5.4125E-9,-7.7500E+0
-6.9457E-9,-8.0000E+0
-8.9170E-9,-8.2500E+0
-11.4081E-9,-8.5000E+0
-14.5539E-9,-8.7500E+0
-18.4865E-9,-9.0000E+0
-23.3827E-9,-9.2500E+0
-29.4420E-9,-9.5000E+0
-36.8451E-9,-9.7500E+0
-45.8307E-9,-10.0000E+0
