I,V
1.3350E-6,10.0000E+0
1.0641E-6,9.7500E+0
845.3906E-9,9.5000E+0
670.0578E-9,9.2500E+0
529.1187E-9,9.0000E+0
416.4394E-9,8.7500E+0
323.7383E-9,8.5000E+0
252.8591E-9,8.2500E+0
197.0940E-9,8.0000E+0
153.1666E-9,7.7500E+0
118.7086E-9,7.5000E+0
91.7246E-9,7.2500E+0
70.6361E-9,7.0000E+0
54.2228E-9,6.7500E+0
41.4856E-9,6.5000E+0
31.6612E-9,6.2500E+0
24.0856E-9,6.0000E+0
18.2704E-9,5.7500E+0
13.8042E-9,5.5000E+0
10.3850E-9,5.2500E+0
7.7764E-9,5.0000E+0
5.7927E-9,4.7500E+0
4.2753E-9,4.5000E+0
3.1285E-9,4.2500E+0
2.2670E-9,4.0000E+0
1.6168E-9,3.7500E+0
1.1322E-9,3.5000E+0
771.2099E-12,3.2500E+0
503.8749E-12,3.0000E+0
310.3209E-12,2.7500E+0
167.8068E-12,2.5000E+0
66.3388E-12,2.2500E+0
-9.6857E-12,2.0000E+0
-61.4905E-12,1.7500E+0
-100.1401E-12,1.5000E+0
-130.4275E-12,1.2500E+0
-154.9532E-12,1.0000E+0
-171.2187E-12,750.0000E-3
-192.0720E-12,500.0000E-3
-213.7911E-12,250.0000E-3
-229.2392E-12,0.0000E+0
-249.4798E-12,-250.0000E-3
-274.3599E-12,-500.0000E-3
-287.0039E-12,-750.0000E-3
-311.0683E-12,-1.0000E+0
-335.8465E-12,-1.2500E+0
-353.6398E-12,-1.5000E+0
-378.1121E-12,-1.7500E+0
-400.2900E-12,-2.0000E+0
-436.8964E-12,-2.2500E+0
-476.7658E-12,-2.5000E+0
-524.5377E-12,-2.7500E+0
-584.0358E-12,-3.0000E+0
-655.6172E-12,-3.2500E+0
-756.3613E-12,-3.5000E+0
-881.8835E-12,-3.7500E+0
-1.0509E-9,-4.0000E+0
-1.2680E-9,-4.2500E+0
-1.5524E-9,-4.5000E+0
-1.9147E-9,-4.7500E+0
-2.3747E-9,-5.0000E+0
-2.9377E-9,-5.2500E+0
-3.6368E-9,-5.5000E+0
-4.4784E-9,-5.7500E+0
-5.4849E-9,-6.0000E+0
-6.6682E-9,-6.2500E+0
-8.0911E-9,-6.5000E+0
-9.6853E-9,-6.7500E+0
-11.5606E-9,-7.0000E+0
-13.6869E-9,-7.2500E+0
-16.0666E-9,-7.5000E+0
-18.7706E-9,-7.7500E+0
-21.8518E-9,-8.0000E+0
-25.3744E-9,-8.2500E+0
-29.4765E-9,-8.5000E+0
-34.2741E-9,-8.7500E+0
-39.9041E-9,-9.0000E+0
-46.4481E-9,-9.2500E+0
-54.0606E-9,-9.5000E+0
-62.8264E-9,-9.7500E+0
-72.8896E-9,-10.0000E+0
