I,V
4.6864E-6,10.0000E+0
3.7151E-6,9.7500E+0
2.9636E-6,9.5000E+0
2.3576E-6,9.2500E+0
1.8692E-6,9.0000E+0
1.4770E-6,8.7500E+0
1.1633E-6,8.5000E+0
913.1565E-9,8.2500E+0
714.6922E-9,8.0000E+0
557.2305E-9,7.7500E+0
432.9364E-9,7.5000E+0
332.4125E-9,7.2500E+0
256.2274E-9,7.0000E+0
196.7832E-9,6.7500E+0
150.5632E-9,6.5000E+0
114.7461E-9,6.2500E+0
87.0775E-9,6.0000E+0
65.7693E-9,5.7500E+0
49.3756E-9,5.5000E+0
36.8716E-9,5.2500E+0
27.3651E-9,5.0000E+0
20.1846E-9,4.7500E+0
14.7706E-9,4.5000E+0
10.7141E-9,4.2500E+0
7.7005E-9,4.0000E+0
5.4712E-9,3.7500E+0
3.8295E-9,3.5000E+0
2.6342E-9,3.2500E+0
1.7735E-9,3.0000E+0
1.1552E-9,2.7500E+0
720.0746E-12,2.5000E+0
412.0481E-12,2.2500E+0
199.0148E-12,2.0000E+0
59.1511E-12,1.7500E+0
-37.8306E-12,1.5000E+0
-99.2217E-12,1.2500E+0
-137.6166E-12,1.0000E+0
-169.2810E-12,750.0000E-3
-193.9585E-12,500.0000E-3
-211.7520E-12,250.0000E-3
-230.2083E-12,0.0000E+0
-250.0412E-12,-250.0000E-3
-270.9447E-12,-500.0000E-3
-290.6246E-12,-750.0000E-3
-315.3010E-12,-1.0000E+0
-347.4210E-12,-1.2500E+0
-392.1342E-12,-1.5000E+0
-450.5111E-12,-1.7500E+0
-531.7289E-12,-2.0000E+0
-650.6751E-12,-2.2500E+0
-809.0321E-12,-2.5000E+0
-1.0396E-9,-2.7500E+0
-1.3583E-9,-3.0000E+0
-1.7885E-9,-3.2500E+0
-2.3797E-9,-3.5000E+0
-3.1821E-9,-3.7500E+0
-4.2601E-9,-4.0000E+0
-5.6978E-9,-4.2500E+0
-7.5940E-9,-4.5000E+0
-10.0917E-9,-4.7500E+0
-13.3092E-9,-5.0000E+0
-17.3905E-9,-5.2500E+0
-22.5135E-9,-5.5000E+0
-28.8254E-9,-5.7500E+0
-36.5459E-9,-6.0000E+0
-45.7696E-9,-6.2500E+0
-56.6755E-9,-6.5000E+0
-69.2871E-9,-6.7500E+0
-85.5205E-9,-7.0000E+0
-104.4100E-9,-7.2500E+0
-125.9149E-9,-7.5000E+0
-149.9074E-9,-7.7500E+0
-176.0438E-9,-8.0000E+0
-204.1509E-9,-8.2500E+0
-233.8862E-9,-8.5000E+0
-264.5339E-9,-8.7500E+0
-295.4744E-9,-9.0000E+0
-325.7203E-9,-9.2500E+0
-354.5093E-9,-9.5000E+0
-381.2187E-9,-9.7500E+0
-405.1886E-9,-10.0000E+0
