I,V
40.4699E-9,10.0000E+0
30.5711E-9,9.7500E+0
22.8021E-9,9.5000E+0
16.8944E-9,9.2500E+0
12.4138E-9,9.0000E+0
9.0856E-9,8.7500E+0
6.6117E-9,8.5000E+0
4.7994E-9,8.2500E+0
3.4793E-9,8.0000E+0
2.5262E-9,7.7500E+0
1.8412E-9,7.5000E+0
1.3457E-9,7.2500E+0
993.2668E-12,7.0000E+0
750.7123E-12,6.7500E+0
576.3812E-12,6.5000E+0
444.8807E-12,6.2500E+0
358.3015E-12,6.0000E+0
296.9618E-12,5.7500E+0
244.9021E-12,5.5000E+0
198.2982E-12,5.2500E+0
169.5405E-12,5.0000E+0
149.6038E-12,4.7500E+0
119.7752E-12,4.5000E+0
91.8333E-12,4.2500E+0
74.8540E-12,4.0000E+0
54.2034E-12,3.7500E+0
29.2189E-12,3.5000E+0
7.6505E-12,3.2500E+0
-7.4932E-12,3.0000E+0
-29.7753E-12,2.7500E+0
-55.2698E-12,2.5000E+0
-69.0878E-12,2.2500E+0
-90.7581E-12,2.0000E+0
-111.4596E-12,1.7500E+0
-133.2319E-12,1.5000E+0
-150.1092E-12,1.2500E+0
-168.6182E-12,1.0000E+0
-191.0013E-12,750.0000E-3
-213.2303E-12,500.0000E-3
-226.2822E-12,250.0000E-3
-252.9467E-12,0.0000E+0
-273.4932E-12,-250.0000E-3
-286.2392E-12,-500.0000E-3
-311.8331E-12,-750.0000E-3
-331.9717E-12,-1.0000E+0
-354.0987E-12,-1.2500E+0
-371.3312E-12,-1.5000E+0
-399.7802E-12,-1.7500E+0
-422.6210E-12,-2.0000E+0
-439.2927E-12,-2.2500E+0
-461.8785E-12,-2.5000E+0
-480.4876E-12,-2.7500E+0
-513.9840E-12,-3.0000E+0
-533.7658E-12,-3.2500E+0
-559.3596E-12,-3.5000E+0
-589.7460E-12,-3.7500E+0
-610.8533E-12,-4.0000E+0
-638.7925E-12,-4.2500E+0
-663.1118E-12,-4.5000E+0
-700.7379E-12,-4.7500E+0
-726.1788E-12,-5.0000E+0
-756.4122E-12,-5.2500E+0
-797.3012E-12,-5.5000E+0
-831.7664E-12,-5.7500E+0
-872.4514E-12,-6.0000E+0
-914.1052E-12,-6.2500E+0
-968.7089E-12,-6.5000E+0
-1.0207E-9,-6.7500E+0
-1.0843E-9,-7.0000E+0
-1.1688E-9,-7.2500E+0
-1.2816E-9,-7.5000E+0
-1.4242E-9,-7.7500E+0
-1.6205E-9,-8.0000E+0
-1.9079E-9,-8.2500E+0
-2.3094E-9,-8.5000E+0
-2.8649E-9,-8.7500E+0
-3.6569E-9,-9.0000E+0
-4.7325E-9,-9.2500E+0
-6.2202E-9,-9.5000E+0
-8.1936E-9,-9.7500E+0
-10.8317E-9,-10.0000E+0
