I,V
10.9276E-9,10.0000E+0
8.0734E-9,9.7500E+0
5.9677E-9,9.5000E+0
4.4482E-9,9.2500E+0
3.3388E-9,9.0000E+0
2.5345E-9,8.7500E+0
1.9438E-9,8.5000E+0
1.5085E-9,8.2500E+0
1.1934E-9,8.0000E+0
952.7306E-12,7.7500E+0
775.0851E-12,7.5000E+0
642.1059E-12,7.2500E+0
537.7315E-12,7.0000E+0
461.5031E-12,6.7500E+0
396.2883E-12,6.5000E+0
346.5740E-12,6.2500E+0
299.8682E-12,6.0000E+0
264.0739E-12,5.7500E+0
228.2287E-12,5.5000E+0
202.8362E-12,5.2500E+0
167.8068E-12,5.0000E+0
148.3290E-12,4.7500E+0
122.3247E-12,4.5000E+0
102.0311E-12,4.2500E+0
80.2588E-12,4.0000E+0
52.4188E-12,3.7500E+0
26.5165E-12,3.5000E+0
8.3644E-12,3.2500E+0
-12.3881E-12,3.0000E+0
-38.4435E-12,2.7500E+0
-58.1252E-12,2.5000E+0
-79.3876E-12,2.2500E+0
-102.5366E-12,2.0000E+0
-128.2860E-12,1.7500E+0
-146.2851E-12,1.5000E+0
-166.1198E-12,1.2500E+0
-187.7894E-12,1.0000E+0
-210.9360E-12,750.0000E-3
-237.4986E-12,500.0000E-3
-260.5943E-12,250.0000E-3
-283.6900E-12,0.0000E+0
-299.8519E-12,-250.0000E-3
-325.5987E-12,-500.0000E-3
-346.8080E-12,-750.0000E-3
-370.8214E-12,-1.0000E+0
-398.6586E-12,-1.2500E+0
-424.3034E-12,-1.5000E+0
-451.4778E-12,-1.7500E+0
-477.3266E-12,-2.0000E+0
-508.4778E-12,-2.2500E+0
-541.1584E-12,-2.5000E+0
-579.3963E-12,-2.7500E+0
-604.8372E-12,-3.0000E+0
-643.1771E-12,-3.2500E+0
-684.4740E-12,-3.5000E+0
-726.9436E-12,-3.7500E+0
-777.2646E-12,-4.0000E+0
-831.7154E-12,-4.2500E+0
-891.8253E-12,-4.5000E+0
-962.8968E-12,-4.7500E+0
-1.0429E-9,-5.0000E+0
-1.1311E-9,-5.2500E+0
-1.2391E-9,-5.5000E+0
-1.3657E-9,-5.7500E+0
-1.5055E-9,-6.0000E+0
-1.6733E-9,-6.2500E+0
-1.8753E-9,-6.5000E+0
-2.1105E-9,-6.7500E+0
-2.3947E-9,-7.0000E+0
-2.7330E-9,-7.2500E+0
-3.1405E-9,-7.5000E+0
-3.6372E-9,-7.7500E+0
-4.2640E-9,-8.0000E+0
-5.0535E-9,-8.2500E+0
-6.0543E-9,-8.5000E+0
-7.3415E-9,-8.7500E+0
-8.9697E-9,-9.0000E+0
-10.9708E-9,-9.2500E+0
-13.3646E-9,-9.5000E+0
-16.1489E-9,-9.7500E+0
-19.2796E-9,-10.0000E+0
