I,V
245.8744E-9,10.0000E+0
192.7998E-9,9.7500E+0
150.3347E-9,9.5000E+0
116.6118E-9,9.2500E+0
89.9871E-9,9.0000E+0
69.0861E-9,8.7500E+0
52.7233E-9,8.5000E+0
40.0494E-9,8.2500E+0
30.2964E-9,8.0000E+0
22.8078E-9,7.7500E+0
17.1170E-9,7.5000E+0
12.7899E-9,7.2500E+0
9.5294E-9,7.0000E+0
7.0905E-9,6.7500E+0
5.2520E-9,6.5000E+0
3.8920E-9,6.2500E+0
2.8850E-9,6.0000E+0
2.1367E-9,5.7500E+0
1.5844E-9,5.5000E+0
1.1768E-9,5.2500E+0
874.8705E-12,5.0000E+0
648.2756E-12,4.7500E+0
480.7769E-12,4.5000E+0
352.9476E-12,4.2500E+0
251.6836E-12,4.0000E+0
178.9224E-12,3.7500E+0
120.3361E-12,3.5000E+0
66.8997E-12,3.2500E+0
28.2501E-12,3.0000E+0
1.1749E-12,2.7500E+0
-34.1604E-12,2.5000E+0
-59.0430E-12,2.2500E+0
-85.2513E-12,2.0000E+0
-107.4315E-12,1.7500E+0
-124.8187E-12,1.5000E+0
-144.7554E-12,1.2500E+0
-168.5162E-12,1.0000E+0
-186.2089E-12,750.0000E-3
-209.9163E-12,500.0000E-3
-225.1605E-12,250.0000E-3
-243.8206E-12,0.0000E+0
-260.7473E-12,-250.0000E-3
-281.2937E-12,-500.0000E-3
-299.4440E-12,-750.0000E-3
-317.6452E-12,-1.0000E+0
-343.3921E-12,-1.2500E+0
-362.2051E-12,-1.5000E+0
-390.6031E-12,-1.7500E+0
-405.8983E-12,-2.0000E+0
-426.9546E-12,-2.2500E+0
-450.3562E-12,-2.5000E+0
-472.4832E-12,-2.7500E+0
-495.6808E-12,-3.0000E+0
-523.4160E-12,-3.2500E+0
-551.8140E-12,-3.5000E+0
-578.7845E-12,-3.7500E+0
-617.8891E-12,-4.0000E+0
-650.5187E-12,-4.2500E+0
-692.2745E-12,-4.5000E+0
-742.1367E-12,-4.7500E+0
-800.3603E-12,-5.0000E+0
-869.4944E-12,-5.2500E+0
-953.6687E-12,-5.5000E+0
-1.0585E-9,-5.7500E+0
-1.1930E-9,-6.0000E+0
-1.3569E-9,-6.2500E+0
-1.5661E-9,-6.5000E+0
-1.8334E-9,-6.7500E+0
-2.1743E-9,-7.0000E+0
-2.5848E-9,-7.2500E+0
-3.1160E-9,-7.5000E+0
-3.7711E-9,-7.7500E+0
-4.5739E-9,-8.0000E+0
-5.5527E-9,-8.2500E+0
-6.7367E-9,-8.5000E+0
-8.1880E-9,-8.7500E+0
-9.9010E-9,-9.0000E+0
-11.9703E-9,-9.2500E+0
-14.3999E-9,-9.5000E+0
-17.2958E-9,-9.7500E+0
-20.7272E-9,-10.0000E+0
