I,V
5.9432E-6,10.0000E+0
4.7883E-6,9.7500E+0
3.8129E-6,9.5000E+0
3.0573E-6,9.2500E+0
2.4443E-6,9.0000E+0
1.9495E-6,8.7500E+0
1.5505E-6,8.5000E+0
1.2298E-6,8.2500E+0
973.1634E-9,8.0000E+0
767.6464E-9,7.7500E+0
603.8687E-9,7.5000E+0
473.5219E-9,7.2500E+0
365.8594E-9,7.0000E+0
284.9273E-9,6.7500E+0
221.2058E-9,6.5000E+0
171.1367E-9,6.2500E+0
131.8263E-9,6.0000E+0
101.1312E-9,5.7500E+0
77.0196E-9,5.5000E+0
58.3473E-9,5.2500E+0
43.9377E-9,5.0000E+0
32.8783E-9,4.7500E+0
24.4124E-9,4.5000E+0
17.9717E-9,4.2500E+0
13.1006E-9,4.0000E+0
9.4463E-9,3.7500E+0
6.7259E-9,3.5000E+0
4.7079E-9,3.2500E+0
3.2319E-9,3.0000E+0
2.1637E-9,2.7500E+0
1.4011E-9,2.5000E+0
857.5927E-12,2.2500E+0
484.1980E-12,2.0000E+0
230.9341E-12,1.7500E+0
62.2105E-12,1.5000E+0
-48.5893E-12,1.2500E+0
-119.3115E-12,1.0000E+0
-163.2133E-12,750.0000E-3
-191.4603E-12,500.0000E-3
-214.7091E-12,250.0000E-3
-232.2477E-12,0.0000E+0
-254.9866E-12,-250.0000E-3
-274.6665E-12,-500.0000E-3
-297.0486E-12,-750.0000E-3
-334.1141E-12,-1.0000E+0
-386.6789E-12,-1.2500E+0
-459.8412E-12,-1.5000E+0
-569.1513E-12,-1.7500E+0
-725.0611E-12,-2.0000E+0
-949.4426E-12,-2.2500E+0
-1.2610E-9,-2.5000E+0
-1.6877E-9,-2.7500E+0
-2.2820E-9,-3.0000E+0
-3.0757E-9,-3.2500E+0
-4.1457E-9,-3.5000E+0
-5.5662E-9,-3.7500E+0
-7.4373E-9,-4.0000E+0
-9.8968E-9,-4.2500E+0
-13.0705E-9,-4.5000E+0
-17.1244E-9,-4.7500E+0
-22.2312E-9,-5.0000E+0
-28.5991E-9,-5.2500E+0
-36.4210E-9,-5.5000E+0
-45.8174E-9,-5.7500E+0
-56.9428E-9,-6.0000E+0
-69.7438E-9,-6.2500E+0
-86.3219E-9,-6.5000E+0
-105.3356E-9,-6.7500E+0
-126.3993E-9,-7.0000E+0
-149.0451E-9,-7.2500E+0
-172.7176E-9,-7.5000E+0
-197.1605E-9,-7.7500E+0
-221.6162E-9,-8.0000E+0
-245.9693E-9,-8.2500E+0
-269.6910E-9,-8.5000E+0
-292.3301E-9,-8.7500E+0
-313.3971E-9,-9.0000E+0
-332.7059E-9,-9.2500E+0
-349.6072E-9,-9.5000E+0
-363.9308E-9,-9.7500E+0
-376.0084E-9,-10.0000E+0
