I,V
33.4499E-9,10.0000E+0
25.1434E-9,9.7500E+0
18.6727E-9,9.5000E+0
13.7683E-9,9.2500E+0
10.0740E-9,9.0000E+0
7.3403E-9,8.7500E+0
5.3309E-9,8.5000E+0
3.8721E-9,8.2500E+0
2.8049E-9,8.0000E+0
2.0398E-9,7.7500E+0
1.4957E-9,7.5000E+0
1.1044E-9,7.2500E+0
827.9096E-12,7.0000E+0
635.4773E-12,6.7500E+0
500.6626E-12,6.5000E+0
394.7586E-12,6.2500E+0
325.7196E-12,6.0000E+0
267.1842E-12,5.7500E+0
230.4722E-12,5.5000E+0
194.3211E-12,5.2500E+0
165.6143E-12,5.0000E+0
141.3435E-12,4.7500E+0
116.5119E-12,4.5000E+0
93.5669E-12,4.2500E+0
76.1287E-12,4.0000E+0
54.6114E-12,3.7500E+0
33.1450E-12,3.5000E+0
9.1802E-12,3.2500E+0
-13.7138E-12,3.0000E+0
-29.2145E-12,2.7500E+0
-49.7630E-12,2.5000E+0
-70.3115E-12,2.2500E+0
-93.1036E-12,2.0000E+0
-112.0205E-12,1.7500E+0
-133.3339E-12,1.5000E+0
-151.8429E-12,1.2500E+0
-168.8222E-12,1.0000E+0
-192.6838E-12,750.0000E-3
-210.3242E-12,500.0000E-3
-234.1337E-12,250.0000E-3
-254.0174E-12,0.0000E+0
-273.5952E-12,-250.0000E-3
-292.6122E-12,-500.0000E-3
-313.3116E-12,-750.0000E-3
-339.2114E-12,-1.0000E+0
-358.2284E-12,-1.2500E+0
-381.5280E-12,-1.5000E+0
-398.6586E-12,-1.7500E+0
-423.9975E-12,-2.0000E+0
-448.5208E-12,-2.2500E+0
-465.5494E-12,-2.5000E+0
-492.5708E-12,-2.7500E+0
-518.6745E-12,-3.0000E+0
-539.6799E-12,-3.2500E+0
-563.1324E-12,-3.5000E+0
-588.5224E-12,-3.7500E+0
-621.3560E-12,-4.0000E+0
-646.2361E-12,-4.2500E+0
-673.8184E-12,-4.5000E+0
-702.5223E-12,-4.7500E+0
-736.8854E-12,-5.0000E+0
-769.4131E-12,-5.2500E+0
-807.2431E-12,-5.5000E+0
-843.6966E-12,-5.7500E+0
-881.5775E-12,-6.0000E+0
-925.7806E-12,-6.2500E+0
-971.9719E-12,-6.5000E+0
-1.0237E-9,-6.7500E+0
-1.0868E-9,-7.0000E+0
-1.1514E-9,-7.2500E+0
-1.2382E-9,-7.5000E+0
-1.3402E-9,-7.7500E+0
-1.4806E-9,-8.0000E+0
-1.6731E-9,-8.2500E+0
-1.9383E-9,-8.5000E+0
-2.3047E-9,-8.7500E+0
-2.8160E-9,-9.0000E+0
-3.5160E-9,-9.2500E+0
-4.4493E-9,-9.5000E+0
-5.6841E-9,-9.7500E+0
-7.3034E-9,-10.0000E+0
