I,V
20.2859E-9,10.0000E+0
15.0531E-9,9.7500E+0
11.0333E-9,9.5000E+0
8.0362E-9,9.2500E+0
5.8284E-9,9.0000E+0
4.2124E-9,8.7500E+0
3.0475E-9,8.5000E+0
2.2227E-9,8.2500E+0
1.6272E-9,8.0000E+0
1.2064E-9,7.7500E+0
916.5285E-12,7.5000E+0
701.3041E-12,7.2500E+0
557.8722E-12,7.0000E+0
453.0900E-12,6.7500E+0
382.8782E-12,6.5000E+0
322.4053E-12,6.2500E+0
274.1188E-12,6.0000E+0
241.8938E-12,5.7500E+0
220.1724E-12,5.5000E+0
189.3241E-12,5.2500E+0
163.9316E-12,5.0000E+0
143.8420E-12,4.7500E+0
122.0187E-12,4.5000E+0
96.1673E-12,4.2500E+0
76.1287E-12,4.0000E+0
53.5406E-12,3.7500E+0
33.0430E-12,3.5000E+0
8.5683E-12,3.2500E+0
-5.9635E-12,3.0000E+0
-27.5828E-12,2.7500E+0
-51.5476E-12,2.5000E+0
-71.2803E-12,2.2500E+0
-87.9537E-12,2.0000E+0
-109.2161E-12,1.7500E+0
-128.4389E-12,1.5000E+0
-151.5879E-12,1.2500E+0
-170.6068E-12,1.0000E+0
-187.7894E-12,750.0000E-3
-213.2813E-12,500.0000E-3
-233.3179E-12,250.0000E-3
-250.2446E-12,0.0000E+0
-276.0424E-12,-250.0000E-3
-297.9145E-12,-500.0000E-3
-319.2257E-12,-750.0000E-3
-341.7096E-12,-1.0000E+0
-365.8250E-12,-1.2500E+0
-384.2811E-12,-1.5000E+0
-408.7534E-12,-1.7500E+0
-433.5825E-12,-2.0000E+0
-458.1057E-12,-2.2500E+0
-478.2953E-12,-2.5000E+0
-509.4464E-12,-2.7500E+0
-535.8051E-12,-3.0000E+0
-561.0421E-12,-3.2500E+0
-586.4321E-12,-3.5000E+0
-620.7951E-12,-3.7500E+0
-645.0635E-12,-4.0000E+0
-675.7048E-12,-4.2500E+0
-709.4561E-12,-4.5000E+0
-744.2271E-12,-4.7500E+0
-781.8531E-12,-5.0000E+0
-817.0320E-12,-5.2500E+0
-859.3996E-12,-5.5000E+0
-902.8378E-12,-5.7500E+0
-946.9898E-12,-6.0000E+0
-1.0011E-9,-6.2500E+0
-1.0534E-9,-6.5000E+0
-1.1099E-9,-6.7500E+0
-1.1752E-9,-7.0000E+0
-1.2461E-9,-7.2500E+0
-1.3293E-9,-7.5000E+0
-1.4148E-9,-7.7500E+0
-1.5252E-9,-8.0000E+0
-1.6650E-9,-8.2500E+0
-1.8458E-9,-8.5000E+0
-2.0858E-9,-8.7500E+0
-2.3916E-9,-9.0000E+0
-2.8000E-9,-9.2500E+0
-3.3084E-9,-9.5000E+0
-3.9315E-9,-9.7500E+0
-4.6902E-9,-10.0000E+0
