I,V
1.7488E-6,10.0000E+0
1.3955E-6,9.7500E+0
1.1102E-6,9.5000E+0
881.3681E-9,9.2500E+0
696.9632E-9,9.0000E+0
549.8441E-9,8.7500E+0
432.3773E-9,8.5000E+0
335.8183E-9,8.2500E+0
262.1729E-9,8.0000E+0
204.1018E-9,7.7500E+0
158.5021E-9,7.5000E+0
122.7955E-9,7.2500E+0
94.8705E-9,7.0000E+0
73.0232E-9,6.7500E+0
55.9956E-9,6.5000E+0
42.8141E-9,6.2500E+0
32.6231E-9,6.0000E+0
24.7936E-9,5.7500E+0
18.7615E-9,5.5000E+0
14.1360E-9,5.2500E+0
10.5962E-9,5.0000E+0
7.8971E-9,4.7500E+0
5.8424E-9,4.5000E+0
4.2850E-9,4.2500E+0
3.1067E-9,4.0000E+0
2.2260E-9,3.7500E+0
1.5666E-9,3.5000E+0
1.0775E-9,3.2500E+0
714.2043E-12,3.0000E+0
456.8122E-12,2.7500E+0
261.6775E-12,2.5000E+0
120.6420E-12,2.2500E+0
32.1252E-12,2.0000E+0
-38.1375E-12,1.7500E+0
-87.4948E-12,1.5000E+0
-120.6376E-12,1.2500E+0
-151.5879E-12,1.0000E+0
-168.4143E-12,750.0000E-3
-190.8484E-12,500.0000E-3
-207.4181E-12,250.0000E-3
-231.0237E-12,0.0000E+0
-247.4405E-12,-250.0000E-3
-269.3635E-12,-500.0000E-3
-290.5218E-12,-750.0000E-3
-308.8250E-12,-1.0000E+0
-332.0227E-12,-1.2500E+0
-355.5772E-12,-1.5000E+0
-383.5673E-12,-1.7500E+0
-415.7892E-12,-2.0000E+0
-459.8392E-12,-2.2500E+0
-512.4545E-12,-2.5000E+0
-577.8668E-12,-2.7500E+0
-664.8962E-12,-3.0000E+0
-775.8880E-12,-3.2500E+0
-919.6625E-12,-3.5000E+0
-1.1223E-9,-3.7500E+0
-1.3859E-9,-4.0000E+0
-1.7246E-9,-4.2500E+0
-2.1732E-9,-4.5000E+0
-2.7449E-9,-4.7500E+0
-3.4695E-9,-5.0000E+0
-4.3689E-9,-5.2500E+0
-5.4687E-9,-5.5000E+0
-6.8020E-9,-5.7500E+0
-8.4024E-9,-6.0000E+0
-10.2829E-9,-6.2500E+0
-12.4579E-9,-6.5000E+0
-14.9188E-9,-6.7500E+0
-17.6949E-9,-7.0000E+0
-20.7470E-9,-7.2500E+0
-24.0921E-9,-7.5000E+0
-27.7287E-9,-7.7500E+0
-31.6484E-9,-8.0000E+0
-35.9430E-9,-8.2500E+0
-40.7072E-9,-8.5000E+0
-46.0675E-9,-8.7500E+0
-52.2374E-9,-9.0000E+0
-59.4457E-9,-9.2500E+0
-67.8218E-9,-9.5000E+0
-80.2903E-9,-9.7500E+0
-91.7465E-9,-10.0000E+0
