I,V
29.4366E-9,10.0000E+0
22.0420E-9,9.7500E+0
16.2967E-9,9.5000E+0
11.9613E-9,9.2500E+0
8.7239E-9,9.0000E+0
6.3408E-9,8.7500E+0
4.5933E-9,8.5000E+0
3.3256E-9,8.2500E+0
2.4079E-9,8.0000E+0
1.7576E-9,7.7500E+0
1.2900E-9,7.5000E+0
967.1605E-12,7.2500E+0
736.3845E-12,7.0000E+0
572.0471E-12,6.7500E+0
454.6196E-12,6.5000E+0
368.0403E-12,6.2500E+0
308.1284E-12,6.0000E+0
257.3944E-12,5.7500E+0
224.8634E-12,5.5000E+0
191.1088E-12,5.2500E+0
164.6965E-12,5.0000E+0
146.9013E-12,4.7500E+0
119.7752E-12,4.5000E+0
95.5045E-12,4.2500E+0
72.0496E-12,4.0000E+0
52.7758E-12,3.7500E+0
31.1055E-12,3.5000E+0
8.6703E-12,3.2500E+0
-5.1477E-12,3.0000E+0
-27.4808E-12,2.7500E+0
-51.1397E-12,2.5000E+0
-70.2096E-12,2.2500E+0
-87.1379E-12,2.0000E+0
-115.4368E-12,1.7500E+0
-130.3765E-12,1.5000E+0
-153.0156E-12,1.2500E+0
-170.1989E-12,1.0000E+0
-189.4208E-12,750.0000E-3
-211.0380E-12,500.0000E-3
-228.4235E-12,250.0000E-3
-253.4566E-12,0.0000E+0
-272.6265E-12,-250.0000E-3
-290.7767E-12,-500.0000E-3
-315.3509E-12,-750.0000E-3
-333.6542E-12,-1.0000E+0
-357.9735E-12,-1.2500E+0
-377.6532E-12,-1.5000E+0
-402.1255E-12,-1.7500E+0
-425.7820E-12,-2.0000E+0
-446.0226E-12,-2.2500E+0
-471.3105E-12,-2.5000E+0
-495.8847E-12,-2.7500E+0
-518.6745E-12,-3.0000E+0
-543.9625E-12,-3.2500E+0
-570.1172E-12,-3.5000E+0
-594.1306E-12,-3.7500E+0
-623.1404E-12,-4.0000E+0
-648.8363E-12,-4.2500E+0
-681.8228E-12,-4.5000E+0
-715.6251E-12,-4.7500E+0
-751.7727E-12,-5.0000E+0
-779.3549E-12,-5.2500E+0
-817.1850E-12,-5.5000E+0
-851.4971E-12,-5.7500E+0
-894.7313E-12,-6.0000E+0
-932.3065E-12,-6.2500E+0
-981.9647E-12,-6.5000E+0
-1.0339E-9,-6.7500E+0
-1.0894E-9,-7.0000E+0
-1.1527E-9,-7.2500E+0
-1.2316E-9,-7.5000E+0
-1.3207E-9,-7.7500E+0
-1.4451E-9,-8.0000E+0
-1.6059E-9,-8.2500E+0
-1.8311E-9,-8.5000E+0
-2.1419E-9,-8.7500E+0
-2.5582E-9,-9.0000E+0
-3.1256E-9,-9.2500E+0
-3.8686E-9,-9.5000E+0
-4.8376E-9,-9.7500E+0
-6.0836E-9,-10.0000E+0
