I,V
290.8768E-9,10.0000E+0
227.5822E-9,9.7500E+0
177.2023E-9,9.5000E+0
137.2390E-9,9.2500E+0
105.6620E-9,9.0000E+0
80.9469E-9,8.7500E+0
61.7081E-9,8.5000E+0
46.7352E-9,8.2500E+0
35.2166E-9,8.0000E+0
26.3909E-9,7.7500E+0
19.6817E-9,7.5000E+0
14.5896E-9,7.2500E+0
10.7778E-9,7.0000E+0
7.9451E-9,6.7500E+0
5.8267E-9,6.5000E+0
4.2677E-9,6.2500E+0
3.1102E-9,6.0000E+0
2.2753E-9,5.7500E+0
1.6596E-9,5.5000E+0
1.2077E-9,5.2500E+0
887.0057E-12,5.0000E+0
650.3152E-12,4.7500E+0
474.6072E-12,4.5000E+0
346.9310E-12,4.2500E+0
248.0124E-12,4.0000E+0
175.8631E-12,3.7500E+0
118.6025E-12,3.5000E+0
65.7269E-12,3.2500E+0
29.6268E-12,3.0000E+0
-6.9833E-12,2.7500E+0
-38.0865E-12,2.5000E+0
-63.5810E-12,2.2500E+0
-81.8860E-12,2.0000E+0
-106.6157E-12,1.7500E+0
-127.9291E-12,1.5000E+0
-148.7325E-12,1.2500E+0
-164.6921E-12,1.0000E+0
-185.8010E-12,750.0000E-3
-203.0335E-12,500.0000E-3
-222.1015E-12,250.0000E-3
-239.3340E-12,0.0000E+0
-262.6846E-12,-250.0000E-3
-282.0075E-12,-500.0000E-3
-298.2714E-12,-750.0000E-3
-316.9315E-12,-1.0000E+0
-340.3840E-12,-1.2500E+0
-356.9028E-12,-1.5000E+0
-379.2337E-12,-1.7500E+0
-403.9609E-12,-2.0000E+0
-421.7033E-12,-2.2500E+0
-444.6460E-12,-2.5000E+0
-473.8087E-12,-2.7500E+0
-493.9983E-12,-3.0000E+0
-524.8436E-12,-3.2500E+0
-549.6217E-12,-3.5000E+0
-580.8748E-12,-3.7500E+0
-618.6539E-12,-4.0000E+0
-656.4329E-12,-4.2500E+0
-707.3148E-12,-4.5000E+0
-771.3505E-12,-4.7500E+0
-843.2377E-12,-5.0000E+0
-936.9970E-12,-5.2500E+0
-1.0577E-9,-5.5000E+0
-1.2127E-9,-5.7500E+0
-1.4130E-9,-6.0000E+0
-1.6622E-9,-6.2500E+0
-1.9926E-9,-6.5000E+0
-2.4055E-9,-6.7500E+0
-2.9438E-9,-7.0000E+0
-3.6381E-9,-7.2500E+0
-4.5104E-9,-7.5000E+0
-5.6098E-9,-7.7500E+0
-6.9763E-9,-8.0000E+0
-8.6874E-9,-8.2500E+0
-10.7761E-9,-8.5000E+0
-13.3133E-9,-8.7500E+0
-16.3567E-9,-9.0000E+0
-19.9613E-9,-9.2500E+0
-24.1822E-9,-9.5000E+0
-29.0985E-9,-9.7500E+0
-34.7140E-9,-10.0000E+0
