I,V
60.0470E-9,10.0000E+0
46.0047E-9,9.7500E+0
34.8327E-9,9.5000E+0
26.1243E-9,9.2500E+0
19.4920E-9,9.0000E+0
14.4464E-9,8.7500E+0
10.6670E-9,8.5000E+0
7.8521E-9,8.2500E+0
5.7558E-9,8.0000E+0
4.2241E-9,7.7500E+0
3.0962E-9,7.5000E+0
2.2732E-9,7.2500E+0
1.6793E-9,7.0000E+0
1.2454E-9,6.7500E+0
934.2725E-12,6.5000E+0
711.0940E-12,6.2500E+0
548.8471E-12,6.0000E+0
430.5528E-12,5.7500E+0
340.5064E-12,5.5000E+0
271.7733E-12,5.2500E+0
221.0393E-12,5.0000E+0
176.8829E-12,4.7500E+0
150.2156E-12,4.5000E+0
111.9229E-12,4.2500E+0
86.7854E-12,4.0000E+0
60.5771E-12,3.7500E+0
36.3573E-12,3.5000E+0
15.0439E-12,3.2500E+0
-8.7679E-12,3.0000E+0
-30.6422E-12,2.7500E+0
-49.1002E-12,2.5000E+0
-65.9775E-12,2.2500E+0
-93.4095E-12,2.0000E+0
-112.3264E-12,1.7500E+0
-131.0394E-12,1.5000E+0
-151.1800E-12,1.2500E+0
-171.2187E-12,1.0000E+0
-193.7545E-12,750.0000E-3
-209.3045E-12,500.0000E-3
-232.6551E-12,250.0000E-3
-251.4682E-12,0.0000E+0
-269.2106E-12,-250.0000E-3
-292.5102E-12,-500.0000E-3
-310.5075E-12,-750.0000E-3
-331.3599E-12,-1.0000E+0
-352.7221E-12,-1.2500E+0
-375.9198E-12,-1.5000E+0
-396.2623E-12,-1.7500E+0
-418.0324E-12,-2.0000E+0
-436.3356E-12,-2.2500E+0
-465.0905E-12,-2.5000E+0
-486.5547E-12,-2.7500E+0
-507.8660E-12,-3.0000E+0
-526.2711E-12,-3.2500E+0
-556.8104E-12,-3.5000E+0
-582.8632E-12,-3.7500E+0
-615.2889E-12,-4.0000E+0
-636.6511E-12,-4.2500E+0
-661.4803E-12,-4.5000E+0
-689.4704E-12,-4.7500E+0
-718.7351E-12,-5.0000E+0
-752.9963E-12,-5.2500E+0
-788.6340E-12,-5.5000E+0
-831.0015E-12,-5.7500E+0
-875.3576E-12,-6.0000E+0
-928.8906E-12,-6.2500E+0
-990.7849E-12,-6.5000E+0
-1.0749E-9,-6.7500E+0
-1.1816E-9,-7.0000E+0
-1.3316E-9,-7.2500E+0
-1.5265E-9,-7.5000E+0
-1.8025E-9,-7.7500E+0
-2.1948E-9,-8.0000E+0
-2.7408E-9,-8.2500E+0
-3.5003E-9,-8.5000E+0
-4.5615E-9,-8.7500E+0
-6.0295E-9,-9.0000E+0
-8.0186E-9,-9.2500E+0
-10.7205E-9,-9.5000E+0
-14.2839E-9,-9.7500E+0
-19.0650E-9,-10.0000E+0
