I,V
2.2037E-6,10.0000E+0
1.7608E-6,9.7500E+0
1.4031E-6,9.5000E+0
1.1150E-6,9.2500E+0
883.0538E-9,9.0000E+0
697.3322E-9,8.7500E+0
548.8921E-9,8.5000E+0
430.7554E-9,8.2500E+0
333.9233E-9,8.0000E+0
260.1530E-9,7.7500E+0
202.1465E-9,7.5000E+0
156.6717E-9,7.2500E+0
121.0905E-9,7.0000E+0
93.3049E-9,6.7500E+0
71.5998E-9,6.5000E+0
54.7566E-9,6.2500E+0
41.7339E-9,6.0000E+0
31.6889E-9,5.7500E+0
23.9561E-9,5.5000E+0
18.0306E-9,5.2500E+0
13.5016E-9,5.0000E+0
10.0512E-9,4.7500E+0
7.4370E-9,4.5000E+0
5.4428E-9,4.2500E+0
3.9483E-9,4.0000E+0
2.8305E-9,3.7500E+0
1.9974E-9,3.5000E+0
1.3826E-9,3.2500E+0
930.3974E-12,3.0000E+0
597.9495E-12,2.7500E+0
360.8000E-12,2.5000E+0
192.4345E-12,2.2500E+0
72.6614E-12,2.0000E+0
-8.9209E-12,1.7500E+0
-70.5155E-12,1.5000E+0
-112.8873E-12,1.2500E+0
-141.6961E-12,1.0000E+0
-169.3321E-12,750.0000E-3
-191.8171E-12,500.0000E-3
-214.5049E-12,250.0000E-3
-232.9101E-12,0.0000E+0
-247.9503E-12,-250.0000E-3
-274.4109E-12,-500.0000E-3
-297.7615E-12,-750.0000E-3
-325.3948E-12,-1.0000E+0
-356.4439E-12,-1.2500E+0
-392.9484E-12,-1.5000E+0
-430.1156E-12,-1.7500E+0
-477.6835E-12,-2.0000E+0
-532.2363E-12,-2.2500E+0
-591.5304E-12,-2.5000E+0
-676.1126E-12,-2.7500E+0
-795.7208E-12,-3.0000E+0
-952.9039E-12,-3.2500E+0
-1.1673E-9,-3.5000E+0
-1.4609E-9,-3.7500E+0
-1.8475E-9,-4.0000E+0
-2.3590E-9,-4.2500E+0
-3.0300E-9,-4.5000E+0
-3.9052E-9,-4.7500E+0
-5.0142E-9,-5.0000E+0
-6.4131E-9,-5.2500E+0
-8.1682E-9,-5.5000E+0
-10.2640E-9,-5.7500E+0
-12.8188E-9,-6.0000E+0
-15.8232E-9,-6.2500E+0
-19.3056E-9,-6.5000E+0
-23.2778E-9,-6.7500E+0
-27.7319E-9,-7.0000E+0
-32.6230E-9,-7.2500E+0
-37.9318E-9,-7.5000E+0
-43.5830E-9,-7.7500E+0
-49.5253E-9,-8.0000E+0
-55.7252E-9,-8.2500E+0
-62.1180E-9,-8.5000E+0
-68.8324E-9,-8.7500E+0
-75.9749E-9,-9.0000E+0
-87.9688E-9,-9.2500E+0
-101.1404E-9,-9.5000E+0
-115.4926E-9,-9.7500E+0
-131.2362E-9,-10.0000E+0
