I,V
623.8497E-9,10.0000E+0
494.2393E-9,9.7500E+0
388.3178E-9,9.5000E+0
305.5046E-9,9.2500E+0
239.3645E-9,9.0000E+0
186.9087E-9,8.7500E+0
145.4643E-9,8.5000E+0
112.7866E-9,8.2500E+0
87.1949E-9,8.0000E+0
67.1432E-9,7.7500E+0
51.5341E-9,7.5000E+0
39.4422E-9,7.2500E+0
30.1201E-9,7.0000E+0
22.9392E-9,6.7500E+0
17.4378E-9,6.5000E+0
13.2217E-9,6.2500E+0
10.0122E-9,6.0000E+0
7.5684E-9,5.7500E+0
5.7054E-9,5.5000E+0
4.2937E-9,5.2500E+0
3.2136E-9,5.0000E+0
2.3928E-9,4.7500E+0
1.7774E-9,4.5000E+0
1.2985E-9,4.2500E+0
938.2497E-12,4.0000E+0
667.4474E-12,3.7500E+0
465.1234E-12,3.5000E+0
307.0066E-12,3.2500E+0
187.3355E-12,3.0000E+0
106.0592E-12,2.7500E+0
34.6237E-12,2.5000E+0
-20.5973E-12,2.2500E+0
-60.8276E-12,2.0000E+0
-87.9027E-12,1.7500E+0
-119.1080E-12,1.5000E+0
-144.1435E-12,1.2500E+0
-161.6327E-12,1.0000E+0
-179.5299E-12,750.0000E-3
-200.9942E-12,500.0000E-3
-219.6543E-12,250.0000E-3
-230.1059E-12,0.0000E+0
-253.9154E-12,-250.0000E-3
-274.6658E-12,-500.0000E-3
-294.8554E-12,-750.0000E-3
-312.9037E-12,-1.0000E+0
-335.0817E-12,-1.2500E+0
-355.2203E-12,-1.5000E+0
-373.1156E-12,-1.7500E+0
-397.6899E-12,-2.0000E+0
-425.5780E-12,-2.2500E+0
-448.1129E-12,-2.5000E+0
-472.3302E-12,-2.7500E+0
-508.1209E-12,-3.0000E+0
-548.7040E-12,-3.2500E+0
-593.3659E-12,-3.5000E+0
-645.2164E-12,-3.7500E+0
-713.8917E-12,-4.0000E+0
-792.1009E-12,-4.2500E+0
-889.4800E-12,-4.5000E+0
-1.0221E-9,-4.7500E+0
-1.1831E-9,-5.0000E+0
-1.3673E-9,-5.2500E+0
-1.5956E-9,-5.5000E+0
-1.8851E-9,-5.7500E+0
-2.2388E-9,-6.0000E+0
-2.6699E-9,-6.2500E+0
-3.2037E-9,-6.5000E+0
-3.8600E-9,-6.7500E+0
-4.6692E-9,-7.0000E+0
-5.6623E-9,-7.2500E+0
-6.9034E-9,-7.5000E+0
-8.4507E-9,-7.7500E+0
-10.3338E-9,-8.0000E+0
-12.6423E-9,-8.2500E+0
-15.4112E-9,-8.5000E+0
-18.7528E-9,-8.7500E+0
-22.7071E-9,-9.0000E+0
-27.3625E-9,-9.2500E+0
-32.7999E-9,-9.5000E+0
-39.1192E-9,-9.7500E+0
-46.4270E-9,-10.0000E+0
