I,V
375.2083E-9,10.0000E+0
295.9648E-9,9.7500E+0
232.4379E-9,9.5000E+0
181.6923E-9,9.2500E+0
141.4514E-9,9.0000E+0
109.6029E-9,8.7500E+0
84.5642E-9,8.5000E+0
65.0121E-9,8.2500E+0
49.7598E-9,8.0000E+0
37.9202E-9,7.7500E+0
28.7841E-9,7.5000E+0
21.8210E-9,7.2500E+0
16.4907E-9,7.0000E+0
12.4413E-9,6.7500E+0
9.3637E-9,6.5000E+0
7.0421E-9,6.2500E+0
5.2897E-9,6.0000E+0
3.9685E-9,5.7500E+0
2.9764E-9,5.5000E+0
2.2244E-9,5.2500E+0
1.6639E-9,5.0000E+0
1.2445E-9,4.7500E+0
918.2110E-12,4.5000E+0
673.6681E-12,4.2500E+0
488.2723E-12,4.0000E+0
346.6760E-12,3.7500E+0
236.4889E-12,3.5000E+0
149.3998E-12,3.2500E+0
85.6636E-12,3.0000E+0
32.7881E-12,2.7500E+0
-11.3173E-12,2.5000E+0
-43.6953E-12,2.2500E+0
-78.3678E-12,2.0000E+0
-97.8456E-12,1.7500E+0
-120.4847E-12,1.5000E+0
-145.9791E-12,1.2500E+0
-164.5391E-12,1.0000E+0
-186.7187E-12,750.0000E-3
-202.2178E-12,500.0000E-3
-221.3877E-12,250.0000E-3
-243.9736E-12,0.0000E+0
-267.7320E-12,-250.0000E-3
-284.6077E-12,-500.0000E-3
-302.9619E-12,-750.0000E-3
-321.2651E-12,-1.0000E+0
-343.1881E-12,-1.2500E+0
-363.9895E-12,-1.5000E+0
-388.7167E-12,-1.7500E+0
-412.2203E-12,-2.0000E+0
-435.9278E-12,-2.2500E+0
-458.9724E-12,-2.5000E+0
-486.2488E-12,-2.7500E+0
-519.7452E-12,-3.0000E+0
-546.3587E-12,-3.2500E+0
-578.1217E-12,-3.5000E+0
-619.2147E-12,-3.7500E+0
-662.9589E-12,-4.0000E+0
-716.2879E-12,-4.2500E+0
-776.1939E-12,-4.5000E+0
-853.3835E-12,-4.7500E+0
-934.5498E-12,-5.0000E+0
-1.0400E-9,-5.2500E+0
-1.1646E-9,-5.5000E+0
-1.3179E-9,-5.7500E+0
-1.5056E-9,-6.0000E+0
-1.7360E-9,-6.2500E+0
-2.0273E-9,-6.5000E+0
-2.3831E-9,-6.7500E+0
-2.8290E-9,-7.0000E+0
-3.3788E-9,-7.2500E+0
-4.0611E-9,-7.5000E+0
-4.8854E-9,-7.7500E+0
-5.8966E-9,-8.0000E+0
-7.1017E-9,-8.2500E+0
-8.5659E-9,-8.5000E+0
-10.2571E-9,-8.7500E+0
-12.2535E-9,-9.0000E+0
-14.5675E-9,-9.2500E+0
-17.2447E-9,-9.5000E+0
-20.2964E-9,-9.7500E+0
-23.7778E-9,-10.0000E+0
