I,V
151.5267E-9,10.0000E+0
117.8628E-9,9.7500E+0
90.8473E-9,9.5000E+0
69.5774E-9,9.2500E+0
52.8715E-9,9.0000E+0
39.9354E-9,8.7500E+0
29.9882E-9,8.5000E+0
22.3805E-9,8.2500E+0
16.5870E-9,8.0000E+0
12.2193E-9,7.7500E+0
8.9561E-9,7.5000E+0
6.5275E-9,7.2500E+0
4.7354E-9,7.0000E+0
3.4199E-9,6.7500E+0
2.4633E-9,6.5000E+0
1.7662E-9,6.2500E+0
1.2721E-9,6.0000E+0
920.7095E-12,5.7500E+0
670.8636E-12,5.5000E+0
491.9435E-12,5.2500E+0
364.3182E-12,5.0000E+0
267.3882E-12,4.7500E+0
206.0995E-12,4.5000E+0
161.0763E-12,4.2500E+0
111.1581E-12,4.0000E+0
75.8737E-12,3.7500E+0
42.7309E-12,3.5000E+0
20.2448E-12,3.2500E+0
-6.8303E-12,3.0000E+0
-27.9907E-12,2.7500E+0
-36.5569E-12,2.5000E+0
-64.8557E-12,2.2500E+0
-91.6249E-12,2.0000E+0
-111.9185E-12,1.7500E+0
-135.6284E-12,1.5000E+0
-159.0323E-12,1.2500E+0
-172.3404E-12,1.0000E+0
-186.8717E-12,750.0000E-3
-205.7867E-12,500.0000E-3
-226.5881E-12,250.0000E-3
-246.1659E-12,0.0000E+0
-262.9905E-12,-250.0000E-3
-283.6390E-12,-500.0000E-3
-298.8322E-12,-750.0000E-3
-324.4261E-12,-1.0000E+0
-344.7176E-12,-1.2500E+0
-364.6523E-12,-1.5000E+0
-386.0655E-12,-1.7500E+0
-408.3965E-12,-2.0000E+0
-426.0879E-12,-2.2500E+0
-448.2658E-12,-2.5000E+0
-466.3141E-12,-2.7500E+0
-491.9080E-12,-3.0000E+0
-512.7604E-12,-3.2500E+0
-536.5698E-12,-3.5000E+0
-567.3131E-12,-3.7500E+0
-586.3301E-12,-4.0000E+0
-612.4338E-12,-4.2500E+0
-643.2280E-12,-4.5000E+0
-674.0223E-12,-4.7500E+0
-712.3112E-12,-5.0000E+0
-760.1850E-12,-5.2500E+0
-818.1026E-12,-5.5000E+0
-888.5623E-12,-5.7500E+0
-980.9961E-12,-6.0000E+0
-1.0941E-9,-6.2500E+0
-1.2414E-9,-6.5000E+0
-1.4359E-9,-6.7500E+0
-1.6917E-9,-7.0000E+0
-2.0203E-9,-7.2500E+0
-2.4373E-9,-7.5000E+0
-2.9743E-9,-7.7500E+0
-3.6615E-9,-8.0000E+0
-4.5206E-9,-8.2500E+0
-5.6104E-9,-8.5000E+0
-6.9658E-9,-8.7500E+0
-8.6732E-9,-9.0000E+0
-10.7608E-9,-9.2500E+0
-13.3411E-9,-9.5000E+0
-16.4872E-9,-9.7500E+0
-20.3141E-9,-10.0000E+0
