I,V
18.0905E-9,10.0000E+0
13.3756E-9,9.7500E+0
9.7749E-9,9.5000E+0
7.1110E-9,9.2500E+0
5.1534E-9,9.0000E+0
3.7321E-9,8.7500E+0
2.7118E-9,8.5000E+0
1.9908E-9,8.2500E+0
1.4681E-9,8.0000E+0
1.1018E-9,7.7500E+0
846.3676E-12,7.5000E+0
664.8470E-12,7.2500E+0
534.5703E-12,7.0000E+0
440.1388E-12,6.7500E+0
371.7626E-12,6.5000E+0
322.7622E-12,6.2500E+0
283.2458E-12,6.0000E+0
247.0946E-12,5.7500E+0
222.4669E-12,5.5000E+0
193.6582E-12,5.2500E+0
166.1242E-12,5.0000E+0
145.5247E-12,4.7500E+0
120.1831E-12,4.5000E+0
98.9207E-12,4.2500E+0
78.2702E-12,4.0000E+0
56.7529E-12,3.7500E+0
34.9296E-12,3.5000E+0
13.1574E-12,3.2500E+0
-10.3486E-12,3.0000E+0
-24.9824E-12,2.7500E+0
-48.9982E-12,2.5000E+0
-74.0847E-12,2.2500E+0
-89.1775E-12,2.0000E+0
-114.3660E-12,1.7500E+0
-134.2007E-12,1.5000E+0
-153.4745E-12,1.2500E+0
-171.7795E-12,1.0000E+0
-196.6605E-12,750.0000E-3
-217.2070E-12,500.0000E-3
-241.4244E-12,250.0000E-3
-257.4333E-12,0.0000E+0
-280.4780E-12,-250.0000E-3
-304.8483E-12,-500.0000E-3
-322.9476E-12,-750.0000E-3
-346.4001E-12,-1.0000E+0
-371.9940E-12,-1.2500E+0
-393.9681E-12,-1.5000E+0
-415.3303E-12,-1.7500E+0
-442.0968E-12,-2.0000E+0
-469.7810E-12,-2.2500E+0
-490.0216E-12,-2.5000E+0
-516.8391E-12,-2.7500E+0
-543.4017E-12,-3.0000E+0
-576.2353E-12,-3.2500E+0
-599.3819E-12,-3.5000E+0
-635.0196E-12,-3.7500E+0
-666.2728E-12,-4.0000E+0
-699.8711E-12,-4.2500E+0
-732.9596E-12,-4.5000E+0
-771.7074E-12,-4.7500E+0
-811.9336E-12,-5.0000E+0
-853.8933E-12,-5.2500E+0
-897.5864E-12,-5.5000E+0
-946.3270E-12,-5.7500E+0
-997.9226E-12,-6.0000E+0
-1.0543E-9,-6.2500E+0
-1.1171E-9,-6.5000E+0
-1.1826E-9,-6.7500E+0
-1.2548E-9,-7.0000E+0
-1.3346E-9,-7.2500E+0
-1.4192E-9,-7.5000E+0
-1.5337E-9,-7.7500E+0
-1.6509E-9,-8.0000E+0
-1.8020E-9,-8.2500E+0
-1.9957E-9,-8.5000E+0
-2.2451E-9,-8.7500E+0
-2.5749E-9,-9.0000E+0
-2.9875E-9,-9.2500E+0
-3.5118E-9,-9.5000E+0
-4.1556E-9,-9.7500E+0
-4.9279E-9,-10.0000E+0
