I,V
1.1110E-6,10.0000E+0
886.1760E-9,9.7500E+0
705.1938E-9,9.5000E+0
559.7205E-9,9.2500E+0
442.7357E-9,9.0000E+0
345.6440E-9,8.7500E+0
271.5391E-9,8.5000E+0
212.8456E-9,8.2500E+0
166.4959E-9,8.0000E+0
129.9081E-9,7.7500E+0
101.0753E-9,7.5000E+0
78.3717E-9,7.2500E+0
60.6203E-9,7.0000E+0
46.7840E-9,6.7500E+0
36.0226E-9,6.5000E+0
27.6642E-9,6.2500E+0
21.1988E-9,6.0000E+0
16.1992E-9,5.7500E+0
12.3256E-9,5.5000E+0
9.3376E-9,5.2500E+0
7.0374E-9,5.0000E+0
5.2725E-9,4.7500E+0
3.9234E-9,4.5000E+0
2.8888E-9,4.2500E+0
2.1007E-9,4.0000E+0
1.5059E-9,3.7500E+0
1.0631E-9,3.5000E+0
725.8298E-12,3.2500E+0
475.8310E-12,3.0000E+0
295.5851E-12,2.7500E+0
161.7901E-12,2.5000E+0
61.5458E-12,2.2500E+0
-12.3881E-12,2.0000E+0
-61.5415E-12,1.7500E+0
-102.0777E-12,1.5000E+0
-129.6117E-12,1.2500E+0
-154.4433E-12,1.0000E+0
-169.0261E-12,750.0000E-3
-193.6015E-12,500.0000E-3
-217.1561E-12,250.0000E-3
-234.3886E-12,0.0000E+0
-250.4995E-12,-250.0000E-3
-273.3912E-12,-500.0000E-3
-291.9494E-12,-750.0000E-3
-312.0370E-12,-1.0000E+0
-333.3992E-12,-1.2500E+0
-354.7105E-12,-1.5000E+0
-380.1005E-12,-1.7500E+0
-408.0396E-12,-2.0000E+0
-439.1398E-12,-2.2500E+0
-475.8991E-12,-2.5000E+0
-518.5216E-12,-2.7500E+0
-568.5877E-12,-3.0000E+0
-633.7451E-12,-3.2500E+0
-717.2566E-12,-3.5000E+0
-819.1733E-12,-3.7500E+0
-949.4371E-12,-4.0000E+0
-1.1194E-9,-4.2500E+0
-1.3228E-9,-4.5000E+0
-1.5788E-9,-4.7500E+0
-1.8905E-9,-5.0000E+0
-2.2664E-9,-5.2500E+0
-2.7137E-9,-5.5000E+0
-3.2440E-9,-5.7500E+0
-3.8654E-9,-6.0000E+0
-4.5955E-9,-6.2500E+0
-5.4460E-9,-6.5000E+0
-6.4200E-9,-6.7500E+0
-7.5550E-9,-7.0000E+0
-8.9247E-9,-7.2500E+0
-10.5265E-9,-7.5000E+0
-12.4345E-9,-7.7500E+0
-14.7145E-9,-8.0000E+0
-17.4590E-9,-8.2500E+0
-20.7328E-9,-8.5000E+0
-24.6424E-9,-8.7500E+0
-29.2518E-9,-9.0000E+0
-34.5930E-9,-9.2500E+0
-40.8265E-9,-9.5000E+0
-48.0079E-9,-9.7500E+0
-56.2331E-9,-10.0000E+0
