I,V
5.6353E-6,10.0000E+0
4.5141E-6,9.7500E+0
3.5715E-6,9.5000E+0
2.8453E-6,9.2500E+0
2.2584E-6,9.0000E+0
1.7871E-6,8.7500E+0
1.4097E-6,8.5000E+0
1.1085E-6,8.2500E+0
869.1657E-9,8.0000E+0
678.8887E-9,7.7500E+0
528.4368E-9,7.5000E+0
409.7428E-9,7.2500E+0
313.8540E-9,7.0000E+0
241.3507E-9,6.7500E+0
184.9007E-9,6.5000E+0
141.1621E-9,6.2500E+0
107.2656E-9,6.0000E+0
81.1662E-9,5.7500E+0
61.0340E-9,5.5000E+0
45.6073E-9,5.2500E+0
33.8894E-9,5.0000E+0
25.0028E-9,4.7500E+0
18.3123E-9,4.5000E+0
13.2988E-9,4.2500E+0
9.5622E-9,4.0000E+0
6.8011E-9,3.7500E+0
4.7697E-9,3.5000E+0
3.2883E-9,3.2500E+0
2.2226E-9,3.0000E+0
1.4559E-9,2.7500E+0
913.9359E-12,2.5000E+0
535.3913E-12,2.2500E+0
279.2210E-12,2.0000E+0
101.9821E-12,1.7500E+0
-13.7126E-12,1.5000E+0
-85.4546E-12,1.2500E+0
-135.8320E-12,1.0000E+0
-169.7399E-12,750.0000E-3
-195.0292E-12,500.0000E-3
-211.8540E-12,250.0000E-3
-226.0786E-12,0.0000E+0
-247.2880E-12,-250.0000E-3
-268.9563E-12,-500.0000E-3
-292.6639E-12,-750.0000E-3
-318.8189E-12,-1.0000E+0
-355.9864E-12,-1.2500E+0
-408.1942E-12,-1.5000E+0
-482.0703E-12,-1.7500E+0
-590.0549E-12,-2.0000E+0
-740.6113E-12,-2.2500E+0
-956.4785E-12,-2.5000E+0
-1.2624E-9,-2.7500E+0
-1.6740E-9,-3.0000E+0
-2.2462E-9,-3.2500E+0
-3.0270E-9,-3.5000E+0
-4.0811E-9,-3.7500E+0
-5.4809E-9,-4.0000E+0
-7.3431E-9,-4.2500E+0
-9.7997E-9,-4.5000E+0
-12.9803E-9,-4.7500E+0
-17.0542E-9,-5.0000E+0
-22.1889E-9,-5.2500E+0
-28.6002E-9,-5.5000E+0
-36.4462E-9,-5.7500E+0
-45.8995E-9,-6.0000E+0
-57.1275E-9,-6.2500E+0
-70.2110E-9,-6.5000E+0
-87.1032E-9,-6.7500E+0
-106.8073E-9,-7.0000E+0
-129.2407E-9,-7.2500E+0
-154.2637E-9,-7.5000E+0
-181.9411E-9,-7.7500E+0
-212.1250E-9,-8.0000E+0
-244.4627E-9,-8.2500E+0
-278.5035E-9,-8.5000E+0
-313.9760E-9,-8.7500E+0
-349.8435E-9,-9.0000E+0
-385.3216E-9,-9.2500E+0
-419.6795E-9,-9.5000E+0
-451.8280E-9,-9.7500E+0
-480.6444E-9,-10.0000E+0
