I,V
3.5786E-6,10.0000E+0
2.8665E-6,9.7500E+0
2.2900E-6,9.5000E+0
1.8247E-6,9.2500E+0
1.4491E-6,9.0000E+0
1.1474E-6,8.7500E+0
905.6586E-9,8.5000E+0
712.6374E-9,8.2500E+0
559.3583E-9,8.0000E+0
437.5669E-9,7.7500E+0
337.8235E-9,7.5000E+0
262.2670E-9,7.2500E+0
203.1400E-9,7.0000E+0
156.8332E-9,6.7500E+0
120.6539E-9,6.5000E+0
92.4937E-9,6.2500E+0
70.5577E-9,6.0000E+0
53.5901E-9,5.7500E+0
40.5057E-9,5.5000E+0
30.4497E-9,5.2500E+0
22.7625E-9,5.0000E+0
16.9138E-9,4.7500E+0
12.4727E-9,4.5000E+0
9.1180E-9,4.2500E+0
6.6056E-9,4.0000E+0
4.7280E-9,3.7500E+0
3.3349E-9,3.5000E+0
2.3108E-9,3.2500E+0
1.5594E-9,3.0000E+0
1.0191E-9,2.7500E+0
633.0299E-12,2.5000E+0
364.2162E-12,2.2500E+0
177.1888E-12,2.0000E+0
42.1191E-12,1.7500E+0
-46.9076E-12,1.5000E+0
-102.4346E-12,1.2500E+0
-140.9312E-12,1.0000E+0
-171.0657E-12,750.0000E-3
-190.6445E-12,500.0000E-3
-213.5362E-12,250.0000E-3
-233.4199E-12,0.0000E+0
-252.6408E-12,-250.0000E-3
-266.5084E-12,-500.0000E-3
-288.6354E-12,-750.0000E-3
-317.5432E-12,-1.0000E+0
-341.5057E-12,-1.2500E+0
-380.6103E-12,-1.5000E+0
-433.8374E-12,-1.7500E+0
-502.1558E-12,-2.0000E+0
-593.2639E-12,-2.2500E+0
-717.7665E-12,-2.5000E+0
-895.4961E-12,-2.7500E+0
-1.1338E-9,-3.0000E+0
-1.4613E-9,-3.2500E+0
-1.8999E-9,-3.5000E+0
-2.5016E-9,-3.7500E+0
-3.3027E-9,-4.0000E+0
-4.3643E-9,-4.2500E+0
-5.7706E-9,-4.5000E+0
-7.5906E-9,-4.7500E+0
-9.9418E-9,-5.0000E+0
-12.9221E-9,-5.2500E+0
-16.6321E-9,-5.5000E+0
-21.1644E-9,-5.7500E+0
-26.6504E-9,-6.0000E+0
-33.1340E-9,-6.2500E+0
-40.6819E-9,-6.5000E+0
-49.3018E-9,-6.7500E+0
-59.0702E-9,-7.0000E+0
-69.8298E-9,-7.2500E+0
-84.2659E-9,-7.5000E+0
-100.4623E-9,-7.7500E+0
-118.0534E-9,-8.0000E+0
-136.6318E-9,-8.2500E+0
-155.8620E-9,-8.5000E+0
-175.3732E-9,-8.7500E+0
-194.4571E-9,-9.0000E+0
-212.7379E-9,-9.2500E+0
-230.1060E-9,-9.5000E+0
-246.4263E-9,-9.7500E+0
-261.9282E-9,-10.0000E+0
