I,V
2.7634E-6,10.0000E+0
2.2061E-6,9.7500E+0
1.7564E-6,9.5000E+0
1.3943E-6,9.2500E+0
1.1030E-6,9.0000E+0
869.6791E-9,8.7500E+0
683.5103E-9,8.5000E+0
535.3441E-9,8.2500E+0
418.0710E-9,8.0000E+0
322.4099E-9,7.7500E+0
249.6342E-9,7.5000E+0
192.7337E-9,7.2500E+0
148.3975E-9,7.0000E+0
113.8261E-9,6.7500E+0
87.0104E-9,6.5000E+0
66.2130E-9,6.2500E+0
50.1688E-9,6.0000E+0
37.8627E-9,5.7500E+0
28.4298E-9,5.5000E+0
21.2459E-9,5.2500E+0
15.7832E-9,5.0000E+0
11.6589E-9,4.7500E+0
8.5481E-9,4.5000E+0
6.2206E-9,4.2500E+0
4.4753E-9,4.0000E+0
3.1820E-9,3.7500E+0
2.2241E-9,3.5000E+0
1.5287E-9,3.2500E+0
1.0187E-9,3.0000E+0
650.4681E-12,2.7500E+0
391.5973E-12,2.5000E+0
201.7655E-12,2.2500E+0
79.6469E-12,2.0000E+0
-10.3486E-12,1.7500E+0
-71.9942E-12,1.5000E+0
-114.6719E-12,1.2500E+0
-146.5910E-12,1.0000E+0
-166.0178E-12,750.0000E-3
-185.9539E-12,500.0000E-3
-209.6104E-12,250.0000E-3
-227.3018E-12,0.0000E+0
-246.9816E-12,-250.0000E-3
-264.5200E-12,-500.0000E-3
-287.5647E-12,-750.0000E-3
-307.5504E-12,-1.0000E+0
-328.9126E-12,-1.2500E+0
-360.8795E-12,-1.5000E+0
-396.2113E-12,-1.7500E+0
-440.1084E-12,-2.0000E+0
-500.6772E-12,-2.2500E+0
-583.1691E-12,-2.5000E+0
-692.7334E-12,-2.7500E+0
-835.2842E-12,-3.0000E+0
-1.0381E-9,-3.2500E+0
-1.3127E-9,-3.5000E+0
-1.6868E-9,-3.7500E+0
-2.1936E-9,-4.0000E+0
-2.8811E-9,-4.2500E+0
-3.7916E-9,-4.5000E+0
-4.9875E-9,-4.7500E+0
-6.5336E-9,-5.0000E+0
-8.5169E-9,-5.2500E+0
-11.0131E-9,-5.5000E+0
-14.0800E-9,-5.7500E+0
-17.8456E-9,-6.0000E+0
-22.3369E-9,-6.2500E+0
-27.6502E-9,-6.5000E+0
-33.8085E-9,-6.7500E+0
-40.8580E-9,-7.0000E+0
-48.8085E-9,-7.2500E+0
-57.5528E-9,-7.5000E+0
-67.0496E-9,-7.7500E+0
-80.0993E-9,-8.0000E+0
-91.3936E-9,-8.2500E+0
-106.8166E-9,-8.5000E+0
-123.0358E-9,-8.7500E+0
-139.7410E-9,-9.0000E+0
-156.5218E-9,-9.2500E+0
-173.2314E-9,-9.5000E+0
-190.0084E-9,-9.7500E+0
-207.1448E-9,-10.0000E+0
