I,V
3.0237E-6,10.0000E+0
2.4205E-6,9.7500E+0
1.9326E-6,9.5000E+0
1.5390E-6,9.2500E+0
1.2216E-6,9.0000E+0
966.8199E-9,8.7500E+0
762.9621E-9,8.5000E+0
600.2562E-9,8.2500E+0
470.9630E-9,8.0000E+0
364.6405E-9,7.7500E+0
284.0095E-9,7.5000E+0
220.5989E-9,7.2500E+0
170.9490E-9,7.0000E+0
132.0362E-9,6.7500E+0
101.6577E-9,6.5000E+0
77.9054E-9,6.2500E+0
59.4678E-9,6.0000E+0
45.2211E-9,5.7500E+0
34.2206E-9,5.5000E+0
25.7641E-9,5.2500E+0
19.2965E-9,5.0000E+0
14.3644E-9,4.7500E+0
10.6122E-9,4.5000E+0
7.7808E-9,4.2500E+0
5.6404E-9,4.0000E+0
4.0423E-9,3.7500E+0
2.8578E-9,3.5000E+0
1.9784E-9,3.2500E+0
1.3357E-9,3.0000E+0
870.9952E-12,2.7500E+0
543.1364E-12,2.5000E+0
304.6101E-12,2.2500E+0
138.1312E-12,2.0000E+0
25.1398E-12,1.7500E+0
-50.4259E-12,1.5000E+0
-103.8113E-12,1.2500E+0
-144.1435E-12,1.0000E+0
-165.5079E-12,750.0000E-3
-189.1659E-12,500.0000E-3
-207.1632E-12,250.0000E-3
-229.2902E-12,0.0000E+0
-244.4324E-12,-250.0000E-3
-266.4065E-12,-500.0000E-3
-287.5647E-12,-750.0000E-3
-310.8644E-12,-1.0000E+0
-340.0781E-12,-1.2500E+0
-375.8178E-12,-1.5000E+0
-415.3813E-12,-1.7500E+0
-475.1343E-12,-2.0000E+0
-554.2103E-12,-2.2500E+0
-663.1627E-12,-2.5000E+0
-801.4309E-12,-2.7500E+0
-989.3574E-12,-3.0000E+0
-1.2495E-9,-3.2500E+0
-1.6090E-9,-3.5000E+0
-2.0856E-9,-3.7500E+0
-2.7201E-9,-4.0000E+0
-3.5612E-9,-4.2500E+0
-4.6701E-9,-4.5000E+0
-6.1075E-9,-4.7500E+0
-7.9559E-9,-5.0000E+0
-10.2600E-9,-5.2500E+0
-13.1506E-9,-5.5000E+0
-16.6654E-9,-5.7500E+0
-20.8676E-9,-6.0000E+0
-25.8332E-9,-6.2500E+0
-31.5284E-9,-6.5000E+0
-38.0144E-9,-6.7500E+0
-45.2639E-9,-7.0000E+0
-53.1776E-9,-7.2500E+0
-61.6962E-9,-7.5000E+0
-70.7234E-9,-7.7500E+0
-83.6228E-9,-8.0000E+0
-97.5571E-9,-8.2500E+0
-112.0613E-9,-8.5000E+0
-126.8441E-9,-8.7500E+0
-141.4759E-9,-9.0000E+0
-155.7206E-9,-9.2500E+0
-169.5276E-9,-9.5000E+0
-183.2948E-9,-9.7500E+0
-197.5084E-9,-10.0000E+0
