I,V
137.3638E-9,10.0000E+0
106.5799E-9,9.7500E+0
81.9338E-9,9.5000E+0
62.5846E-9,9.2500E+0
47.4362E-9,9.0000E+0
35.7126E-9,8.7500E+0
26.6820E-9,8.5000E+0
19.8074E-9,8.2500E+0
14.6210E-9,8.0000E+0
10.7254E-9,7.7500E+0
7.8167E-9,7.5000E+0
5.6666E-9,7.2500E+0
4.0818E-9,7.0000E+0
2.9307E-9,6.7500E+0
2.1008E-9,6.5000E+0
1.5029E-9,6.2500E+0
1.0765E-9,6.0000E+0
774.7791E-12,5.7500E+0
563.5830E-12,5.5000E+0
409.3414E-12,5.2500E+0
305.9359E-12,5.0000E+0
225.1694E-12,4.7500E+0
165.9712E-12,4.5000E+0
125.7919E-12,4.2500E+0
92.3432E-12,4.0000E+0
59.0984E-12,3.7500E+0
35.8984E-12,3.5000E+0
12.4945E-12,3.2500E+0
-10.6545E-12,3.0000E+0
-32.7327E-12,2.7500E+0
-52.3124E-12,2.5000E+0
-74.1357E-12,2.2500E+0
-92.6447E-12,2.0000E+0
-113.2952E-12,1.7500E+0
-128.9998E-12,1.5000E+0
-150.8741E-12,1.2500E+0
-169.1791E-12,1.0000E+0
-190.5935E-12,750.0000E-3
-206.7044E-12,500.0000E-3
-227.7097E-12,250.0000E-3
-246.2169E-12,0.0000E+0
-263.9592E-12,-250.0000E-3
-282.7213E-12,-500.0000E-3
-299.8009E-12,-750.0000E-3
-324.9359E-12,-1.0000E+0
-346.0942E-12,-1.2500E+0
-362.4600E-12,-1.5000E+0
-386.4224E-12,-1.7500E+0
-403.7060E-12,-2.0000E+0
-427.7703E-12,-2.2500E+0
-449.8464E-12,-2.5000E+0
-469.5771E-12,-2.7500E+0
-489.2058E-12,-3.0000E+0
-511.9956E-12,-3.2500E+0
-526.8829E-12,-3.5000E+0
-558.4419E-12,-3.7500E+0
-576.3883E-12,-4.0000E+0
-608.0492E-12,-4.2500E+0
-634.8667E-12,-4.5000E+0
-665.2021E-12,-4.7500E+0
-708.1305E-12,-5.0000E+0
-751.0079E-12,-5.2500E+0
-806.1215E-12,-5.5000E+0
-874.8987E-12,-5.7500E+0
-962.4889E-12,-6.0000E+0
-1.0798E-9,-6.2500E+0
-1.2228E-9,-6.5000E+0
-1.4132E-9,-6.7500E+0
-1.6611E-9,-7.0000E+0
-1.9870E-9,-7.2500E+0
-2.3985E-9,-7.5000E+0
-2.9353E-9,-7.7500E+0
-3.6201E-9,-8.0000E+0
-4.4877E-9,-8.2500E+0
-5.5807E-9,-8.5000E+0
-6.9644E-9,-8.7500E+0
-8.6967E-9,-9.0000E+0
-10.8470E-9,-9.2500E+0
-13.5123E-9,-9.5000E+0
-16.7994E-9,-9.7500E+0
-20.7980E-9,-10.0000E+0
