I,V
105.8071E-9,10.0000E+0
82.0642E-9,9.7500E+0
62.9242E-9,9.5000E+0
47.8718E-9,9.2500E+0
36.1526E-9,9.0000E+0
27.1701E-9,8.7500E+0
20.3243E-9,8.5000E+0
15.1300E-9,8.2500E+0
11.2173E-9,8.0000E+0
8.2769E-9,7.7500E+0
6.0978E-9,7.5000E+0
4.4866E-9,7.2500E+0
3.2932E-9,7.0000E+0
2.4199E-9,6.7500E+0
1.7894E-9,6.5000E+0
1.3244E-9,6.2500E+0
985.9243E-12,6.0000E+0
738.5770E-12,5.7500E+0
562.6142E-12,5.5000E+0
429.5330E-12,5.2500E+0
324.9037E-12,5.0000E+0
258.3122E-12,4.7500E+0
196.3606E-12,4.5000E+0
148.8899E-12,4.2500E+0
111.1581E-12,4.0000E+0
78.7801E-12,3.7500E+0
49.7674E-12,3.5000E+0
21.4685E-12,3.2500E+0
-303.7431E-15,3.0000E+0
-24.9314E-12,2.7500E+0
-50.6808E-12,2.5000E+0
-64.4478E-12,2.2500E+0
-91.2680E-12,2.0000E+0
-113.1423E-12,1.7500E+0
-130.5805E-12,1.5000E+0
-151.3330E-12,1.2500E+0
-170.6068E-12,1.0000E+0
-190.7974E-12,750.0000E-3
-208.2849E-12,500.0000E-3
-227.1999E-12,250.0000E-3
-251.4172E-12,0.0000E+0
-269.4145E-12,-250.0000E-3
-290.4708E-12,-500.0000E-3
-306.3778E-12,-750.0000E-3
-329.3715E-12,-1.0000E+0
-349.8670E-12,-1.2500E+0
-371.8411E-12,-1.5000E+0
-393.9171E-12,-1.7500E+0
-413.0360E-12,-2.0000E+0
-434.6022E-12,-2.2500E+0
-456.9331E-12,-2.5000E+0
-472.9930E-12,-2.7500E+0
-502.9715E-12,-3.0000E+0
-524.4867E-12,-3.2500E+0
-549.0609E-12,-3.5000E+0
-575.6745E-12,-3.7500E+0
-597.4445E-12,-4.0000E+0
-624.2111E-12,-4.2500E+0
-653.3228E-12,-4.5000E+0
-685.1368E-12,-4.7500E+0
-720.9275E-12,-5.0000E+0
-753.6081E-12,-5.2500E+0
-796.0776E-12,-5.5000E+0
-839.8728E-12,-5.7500E+0
-898.6571E-12,-6.0000E+0
-970.5953E-12,-6.2500E+0
-1.0676E-9,-6.5000E+0
-1.1910E-9,-6.7500E+0
-1.3595E-9,-7.0000E+0
-1.5866E-9,-7.2500E+0
-1.8991E-9,-7.5000E+0
-2.3251E-9,-7.7500E+0
-2.9161E-9,-8.0000E+0
-3.7227E-9,-8.2500E+0
-4.8350E-9,-8.5000E+0
-6.3455E-9,-8.7500E+0
-8.3976E-9,-9.0000E+0
-11.1397E-9,-9.2500E+0
-14.7730E-9,-9.5000E+0
-19.5604E-9,-9.7500E+0
-25.8781E-9,-10.0000E+0
