I,V
22.8053E-9,10.0000E+0
16.9552E-9,9.7500E+0
12.4659E-9,9.5000E+0
9.1049E-9,9.2500E+0
6.6231E-9,9.0000E+0
4.7958E-9,8.7500E+0
3.4710E-9,8.5000E+0
2.5194E-9,8.2500E+0
1.8456E-9,8.0000E+0
1.3539E-9,7.7500E+0
1.0099E-9,7.5000E+0
769.6803E-12,7.2500E+0
603.4563E-12,7.0000E+0
481.1339E-12,6.7500E+0
393.1269E-12,6.5000E+0
336.0193E-12,6.2500E+0
284.2656E-12,6.0000E+0
243.0155E-12,5.7500E+0
214.2067E-12,5.5000E+0
196.6665E-12,5.2500E+0
161.8411E-12,5.0000E+0
135.3778E-12,4.7500E+0
113.0447E-12,4.5000E+0
95.9124E-12,4.2500E+0
71.6417E-12,4.0000E+0
54.5604E-12,3.7500E+0
35.4905E-12,3.5000E+0
13.5653E-12,3.2500E+0
-13.5608E-12,3.0000E+0
-28.5516E-12,2.7500E+0
-44.0522E-12,2.5000E+0
-69.0878E-12,2.2500E+0
-92.0328E-12,2.0000E+0
-110.3889E-12,1.7500E+0
-129.9176E-12,1.5000E+0
-154.3413E-12,1.2500E+0
-172.6973E-12,1.0000E+0
-187.6364E-12,750.0000E-3
-212.9244E-12,500.0000E-3
-237.3457E-12,250.0000E-3
-252.9467E-12,0.0000E+0
-275.5326E-12,-250.0000E-3
-299.3420E-12,-500.0000E-3
-316.5236E-12,-750.0000E-3
-336.2033E-12,-1.0000E+0
-360.2677E-12,-1.2500E+0
-386.0655E-12,-1.5000E+0
-402.1765E-12,-1.7500E+0
-427.6684E-12,-2.0000E+0
-453.9250E-12,-2.2500E+0
-478.1424E-12,-2.5000E+0
-492.6218E-12,-2.7500E+0
-525.2515E-12,-3.0000E+0
-556.2497E-12,-3.2500E+0
-579.3453E-12,-3.5000E+0
-597.9034E-12,-3.7500E+0
-637.8748E-12,-4.0000E+0
-666.1198E-12,-4.2500E+0
-698.5456E-12,-4.5000E+0
-726.0259E-12,-4.7500E+0
-762.1224E-12,-5.0000E+0
-801.6349E-12,-5.2500E+0
-829.9309E-12,-5.5000E+0
-872.8083E-12,-5.7500E+0
-922.2627E-12,-6.0000E+0
-967.8932E-12,-6.2500E+0
-1.0079E-9,-6.5000E+0
-1.0695E-9,-6.7500E+0
-1.1298E-9,-7.0000E+0
-1.1909E-9,-7.2500E+0
-1.2624E-9,-7.5000E+0
-1.3515E-9,-7.7500E+0
-1.4582E-9,-8.0000E+0
-1.5908E-9,-8.2500E+0
-1.7826E-9,-8.5000E+0
-2.0337E-9,-8.7500E+0
-2.3659E-9,-9.0000E+0
-2.7954E-9,-9.2500E+0
-3.3549E-9,-9.5000E+0
-4.0486E-9,-9.7500E+0
-4.8972E-9,-10.0000E+0
